Date,DBC,EEM,EFA,EWZ,SHY,TLT,TQQQ,UPRO,UVXY
2012-01-19,27.41,41.38,51.93,65.05,84.51,117.0,83.19,68.99,7.7
2012-01-20,27.73,41.78,52.13,65.51,84.52,116.25,83.18,69.04,7.31
2012-01-23,27.78,41.81,51.84,65.56,84.52,116.41,82.75,68.84,7.35
2012-01-24,28.01,42.31,52.38,66.85,84.57,116.17,85.89,70.53,6.72
2012-01-25,28.09,42.14,52.4,65.91,84.59,117.67,84.97,69.54,6.77
2012-01-26,28.19,42.37,52.49,66.09,84.6,118.08,85.79,69.38,6.47
2012-01-27,27.9,41.75,51.87,65.41,84.57,119.47,85.94,68.67,6.84
2012-01-30,27.83,42.13,52.14,65.6,84.56,120.86,86.25,68.51,6.82
2012-01-31,27.92,43.05,52.97,67.36,84.51,119.18,88.39,70.34,6.47
2012-02-01,27.99,43.16,53.07,67.79,84.52,119.12,89.27,70.61,6.07
2012-02-02,28.32,43.89,53.91,68.27,84.51,116.57,92.86,73.73,5.45
2012-02-03,28.46,43.51,53.64,68.13,84.5,117.74,92.74,73.56,5.3
2012-02-06,28.44,43.6,53.97,68.89,84.47,116.27,93.14,74.12,5.4
2012-02-07,28.57,43.91,54.16,68.93,84.47,116.38,94.66,74.66,5.65
2012-02-08,28.72,43.89,54.3,68.82,84.44,115.51,96.79,74.97,6.21
2012-02-09,28.45,42.91,53.28,67.37,84.46,116.99,94.72,73.5,7.25
2012-02-10,28.52,43.62,53.9,68.77,84.42,117.13,97.36,75.0,6.18
2012-02-13,28.51,43.26,53.48,67.77,84.42,117.76,98.12,74.71,6.54
2012-02-14,28.62,43.38,53.54,67.31,84.44,117.56,96.0,73.64,7.27
2012-02-15,28.74,43.88,54.28,68.52,84.42,116.62,99.94,76.02,6.7
2012-02-16,28.69,43.93,54.52,68.74,84.42,116.6,99.09,76.74,6.53
2012-02-17,29.14,43.75,54.53,68.67,84.38,115.29,99.93,76.87,6.51
2012-02-21,29.41,43.84,54.34,68.75,84.41,116.73,98.61,75.99,6.12
2012-02-22,29.5,43.75,54.82,68.68,84.41,116.74,100.51,77.14,5.36
2012-02-23,29.68,44.17,55.15,69.3,84.39,117.5,101.46,77.53,5.71
2012-02-24,29.44,43.75,54.87,68.71,84.41,118.56,101.95,77.88,5.82
