Date,BIL,SQQQ,TQQQ,UPRO
2010-08-30,45.85,65.37,76.36,118.93
2010-08-31,45.85,59.81,82.76,129.76
2010-09-01,45.86,57.88,85.6,133.46
2010-09-02,45.86,54.7,89.96,138.53
2010-09-03,45.85,56.0,87.77,134.12
2010-09-07,45.85,54.05,90.87,136.73
2010-09-08,45.85,53.35,92.11,138.6
2010-09-09,45.85,52.86,92.99,140.81
2010-09-10,45.85,50.39,97.66,145.33
2010-09-13,45.86,49.85,98.59,145.08
2010-09-14,45.86,48.9,100.11,146.76
2010-09-15,45.86,48.28,101.45,146.7
2010-09-16,45.85,47.69,102.5,147.1
2010-09-17,45.85,45.19,107.84,153.79
2010-09-20,45.85,45.48,107.68,152.41
2010-09-21,45.85,45.55,106.99,150.48
2010-09-22,45.85,45.66,106.67,146.66
2010-09-23,45.86,43.05,112.71,155.53
2010-09-24,45.86,43.62,111.21,153.5
2010-09-27,45.85,43.41,111.7,155.12
2010-09-28,45.86,43.75,110.8,153.98
2010-09-29,45.85,44.4,109.3,152.76
2010-09-30,45.85,44.49,108.96,154.7
2010-10-01,45.86,46.11,105.18,151.32
2010-10-04,45.85,42.67,113.01,160.25
2010-10-05,45.85,43.6,110.21,160.34
2010-10-06,45.85,43.33,111.21,159.76
2010-10-07,45.85,42.27,113.51,162.28
2010-10-08,45.85,42.34,113.68,162.82
2010-10-11,45.85,41.32,116.04,164.43
2010-10-12,45.85,40.41,118.86,168.0
2010-10-13,45.85,40.69,118.2,166.89
2010-10-14,45.85,38.05,125.74,167.33
2010-10-15,45.86,37.63,126.94,170.82
2010-10-18,45.85,39.52,120.75,162.89
2010-10-19,45.85,38.71,123.28,167.77
2010-10-20,45.85,38.43,124.11,168.67
2010-10-21,45.86,37.63,126.65,169.84
2010-10-22,45.85,37.12,128.36,170.99
2010-10-25,45.86,36.79,129.47,171.14
2010-10-26,45.86,36.44,130.55,169.88
2010-10-27,45.85,36.22,131.48,170.25
2010-10-28,45.86,36.45,130.67,170.24
2010-10-29,45.86,36.35,130.97,170.39
2010-11-01,45.84,35.19,134.94,174.26
2010-11-02,45.85,34.72,136.89,176.4
2010-11-03,45.85,33.45,141.74,186.55
2010-11-04,45.85,33.43,141.91,189.12
2010-11-05,45.85,33.31,142.27,187.98
2010-11-08,45.85,33.89,139.97,183.74
2010-11-09,45.85,33.33,142.27,185.84
2010-11-10,45.84,33.91,139.72,183.57
2010-11-11,45.86,35.61,132.75,177.16
2010-11-12,45.86,35.96,131.39,176.52
2010-11-15,45.86,37.79,124.68,168.21
2010-11-16,45.86,37.44,125.86,168.48
2010-11-17,45.85,35.66,131.71,175.86
2010-11-18,45.85,35.53,132.02,177.2
2010-11-19,45.85,34.7,135.5,176.93
2010-11-22,45.85,36.31,129.1,169.0
2010-11-23,45.86,34.08,136.65,176.35
2010-11-24,45.86,34.36,135.74,172.57
2010-11-26,45.86,34.81,133.89,172.25
2010-11-29,45.86,36.15,128.8,169.04
2010-11-30,45.85,33.95,136.99,179.78
2010-12-01,45.85,32.8,141.15,186.78
2010-12-02,45.86,32.53,142.33,188.37
2010-12-03,45.85,32.57,142.08,187.79
2010-12-06,45.85,32.56,142.21,187.9
2010-12-07,45.85,32.08,144.17,189.98
2010-12-08,45.86,32.02,144.27,192.44
2010-12-09,45.86,31.38,147.36,195.74
2010-12-10,45.86,31.74,145.53,196.13
2010-12-13,45.86,31.6,146.24,196.57
2010-12-14,45.85,31.94,144.75,193.82
2010-12-15,45.85,31.27,147.77,197.2
2010-12-16,45.86,31.15,148.22,198.05
2010-12-17,45.86,31.08,148.53,199.03
2010-12-20,45.86,30.52,151.07,202.87
2010-12-21,45.85,30.52,151.16,204.93
2010-12-22,45.85,30.75,150.08,204.0
2010-12-23,45.85,30.69,150.14,204.0
2010-12-27,45.86,30.83,149.49,205.13
2010-12-28,45.85,30.67,150.38,205.62
2010-12-29,45.86,30.92,149.24,204.88
2010-12-30,45.85,31.18,147.66,204.91
2010-12-31,45.86,29.8,154.56,210.87
2011-01-03,45.86,29.8,154.32,210.21
2011-01-04,45.86,29.07,158.15,213.77
2011-01-05,45.86,28.78,159.58,212.55
2011-01-06,45.85,28.81,159.21,211.35
2011-01-07,45.86,28.5,161.08,210.82
2011-01-10,45.86,28.43,161.76,212.92
2011-01-11,45.85,27.82,165.02,218.85
2011-01-12,45.85,27.73,165.54,217.94
2011-01-13,45.85,27.12,169.12,221.73
2011-01-14,45.85,26.88,170.65,223.45
2011-01-18,45.86,27.77,164.77,216.43
2011-01-19,45.86,28.39,161.33,216.17
2011-01-20,45.85,29.05,157.39,217.65
2011-01-21,45.85,27.86,163.89,221.03
2011-01-24,45.86,27.74,164.46,221.32
2011-01-25,45.85,27.28,167.01,223.99
2011-01-26,45.86,26.78,170.23,225.54
2011-01-27,45.85,28.79,157.39,213.76
2011-01-28,45.85,28.4,159.72,218.36
2011-01-31,45.85,26.78,168.59,228.78
2011-02-01,45.86,26.89,167.83,227.68
2011-02-02,45.85,26.76,168.48,228.96
2011-02-03,45.86,26.31,171.52,231.27
2011-02-04,45.85,25.94,174.01,235.43
2011-02-07,45.85,25.34,177.72,238.64
2011-02-08,45.86,25.52,176.64,237.3
2011-02-09,45.85,25.4,177.5,237.34
2011-02-10,45.85,24.9,181.14,241.31
2011-02-11,45.85,24.7,182.28,242.89
2011-02-14,45.86,24.83,181.81,241.01
2011-02-15,45.86,24.32,185.17,245.12
2011-02-16,45.86,24.32,185.01,247.75
2011-02-17,45.85,24.46,183.96,249.16
2011-02-18,45.85,26.63,167.76,234.39
2011-02-22,45.86,27.26,163.62,230.51
2011-02-23,45.86,26.82,165.95,229.67
2011-02-24,45.86,25.7,86.53,78.73
2011-02-25,45.85,25.57,87.16,80.35
2011-02-28,45.85,26.75,82.98,76.32
2011-03-01,45.86,26.34,84.14,76.72
2011-03-02,45.85,24.81,89.16,80.68
2011-03-03,45.86,25.17,87.76,78.95
2011-03-04,45.85,26.2,84.34,76.97
2011-03-07,45.85,25.9,85.22,79.01
2011-03-08,45.85,26.38,83.5,78.75
2011-03-09,45.85,27.62,79.68,74.34
2011-03-10,45.86,27.15,81.05,75.9
2011-03-11,45.86,27.41,80.16,74.56
2011-03-14,45.86,28.47,76.94,72.06
2011-03-15,45.87,30.57,71.3,67.91
2011-03-16,45.87,29.78,73.15,70.49
2011-03-17,45.87,29.95,72.75,71.45
2011-03-18,45.87,28.29,76.81,74.68
2011-03-21,45.85,28.38,76.53,73.96
2011-03-22,45.86,27.92,77.8,74.55
2011-03-23,45.85,26.42,82.07,76.65
2011-03-24,45.85,26.23,82.59,77.3
2011-03-25,45.86,26.66,81.22,76.83
2011-03-28,45.85,25.92,83.52,78.34
2011-03-29,45.85,25.5,84.75,79.95
2011-03-30,45.85,25.4,85.11,79.71
2011-03-31,45.85,25.37,85.24,80.61
2011-04-01,45.85,25.6,84.47,80.85
2011-04-04,45.85,25.8,83.51,80.86
2011-04-05,45.85,25.66,84.14,81.46
2011-04-06,45.86,25.66,84.12,80.95
2011-04-07,45.85,26.05,82.86,80.22
2011-04-08,45.85,26.28,82.08,79.45
2011-04-11,45.86,26.79,80.47,77.69
2011-04-12,45.86,26.15,82.45,77.56
2011-04-13,45.85,26.28,81.95,77.67
2011-04-14,45.86,26.45,81.5,78.39
2011-04-15,45.85,26.95,79.8,76.03
2011-04-18,45.85,26.48,81.3,77.13
2011-04-19,45.85,24.67,86.71,80.42
2011-04-20,45.85,24.09,88.91,81.6
2011-04-21,45.85,23.9,89.57,81.3
2011-04-25,45.85,23.5,91.11,83.44
2011-04-26,45.85,23.02,93.0,85.0
2011-04-27,45.85,23.16,92.86,85.84
2011-04-28,45.85,23.14,92.41,86.67
2011-04-29,45.85,23.25,91.91,86.21
2011-05-02,45.85,23.6,90.53,85.11
2011-05-03,45.87,23.73,90.0,83.44
2011-05-04,45.87,24.09,88.65,81.32
2011-05-05,45.87,23.85,89.42,82.16
2011-05-06,45.87,23.61,90.39,83.33
2011-05-09,45.87,23.01,92.6,85.42
2011-05-10,45.87,23.5,90.66,82.61
2011-05-11,45.87,23.09,92.24,83.81
2011-05-12,45.86,23.88,89.01,81.78
2011-05-13,45.86,25.1,84.41,80.32
2011-05-16,45.86,24.91,85.03,80.33
2011-05-17,45.85,24.26,87.17,82.49
2011-05-18,45.87,24.06,87.92,83.03
2011-05-19,45.86,24.62,85.98,81.01
2011-05-20,45.86,25.69,82.25,78.16
2011-05-23,45.86,26.16,80.7,78.1
2011-05-24,45.86,25.88,81.6,78.73
2011-05-25,45.86,25.4,83.13,79.71
2011-05-26,45.86,25.01,84.3,80.73
2011-05-27,45.86,23.84,88.43,83.26
2011-05-31,45.85,25.36,82.72,77.79
2011-06-01,45.85,25.17,83.26,77.4
2011-06-02,45.85,26.34,79.48,75.18
2011-06-03,45.85,26.94,77.56,72.66
2011-06-06,45.86,27.11,77.11,72.41
2011-06-07,45.86,27.68,75.43,71.63
2011-06-08,45.85,27.57,75.77,73.14
2011-06-09,45.86,28.81,72.3,70.07
2011-06-10,45.85,28.81,72.35,70.32
2011-06-13,45.86,27.73,75.04,72.96
2011-06-14,45.86,29.21,70.94,69.13
2011-06-15,45.86,29.63,69.95,69.47
2011-06-16,45.86,29.83,69.43,70.16
2011-06-17,45.86,29.41,70.35,71.32
2011-06-20,45.85,27.5,75.04,74.15
2011-06-21,45.86,28.07,73.3,72.88
2011-06-22,45.86,27.31,75.4,72.21
2011-06-23,45.85,28.75,71.41,69.7
2011-06-24,45.85,27.36,74.88,71.44
2011-06-27,45.85,26.14,78.19,74.31
2011-06-28,45.86,25.8,79.18,76.24
2011-06-29,45.86,24.82,82.23,78.37
2011-06-30,45.85,23.65,86.07,81.89
2011-07-01,45.85,23.3,87.28,81.56
2011-07-05,45.86,23.07,88.16,81.87
2011-07-06,45.85,22.1,91.82,84.67
2011-07-07,45.85,22.31,91.02,82.8
2011-07-08,45.84,23.48,86.16,78.43
2011-07-11,45.85,24.04,84.04,77.35
2011-07-12,45.86,23.74,85.16,78.11
2011-07-13,45.86,24.55,82.23,76.46
2011-07-14,45.86,23.56,85.47,77.59
2011-07-15,45.86,23.98,84.09,75.78
2011-07-18,45.86,22.34,90.02,79.43
2011-07-19,45.85,22.6,88.76,79.28
2011-07-20,45.85,22.1,90.48,82.45
2011-07-21,45.86,21.45,93.37,82.75
2011-07-22,45.86,21.56,92.77,81.37
2011-07-25,45.86,21.41,93.33,80.43
2011-07-26,45.86,23.07,86.25,75.63
2011-07-27,45.86,22.95,86.71,74.97
2011-07-28,45.86,23.16,85.76,72.99
2011-07-29,45.86,23.47,84.71,72.38
2011-08-01,45.86,25.24,78.28,66.98
2011-08-02,45.86,24.55,80.31,67.93
2011-08-03,45.86,27.9,69.38,58.32
2011-08-04,45.86,28.4,67.85,58.07
2011-08-05,45.86,33.6,55.93,46.6
2011-08-08,45.86,28.79,63.59,53.05
2011-08-09,45.86,32.02,56.09,46.2
2011-08-10,45.86,27.96,63.29,52.26
2011-08-11,45.86,27.23,64.9,53.4
2011-08-12,45.86,26.04,67.71,56.6
2011-08-15,45.86,26.67,65.96,55.22
2011-08-16,45.86,27.17,64.89,55.37
2011-08-17,45.84,31.1,55.42,48.33
2011-08-18,45.86,32.79,52.37,45.92
2011-08-19,45.84,32.54,52.84,45.98
2011-08-22,45.86,28.5,59.42,50.39
2011-08-23,45.86,27.79,60.78,52.56
2011-08-24,45.84,29.12,57.86,50.16
2011-08-25,45.86,26.97,62.04,52.36
2011-08-26,45.86,24.69,67.32,56.88
2011-08-29,45.86,24.22,68.69,57.18
2011-08-30,45.86,24.11,69.09,57.89
2011-08-31,45.86,24.75,67.14,56.28
2011-09-01,45.86,26.44,62.44,51.92
2011-09-02,45.85,26.44,62.43,50.8
2011-09-06,45.84,24.42,67.15,55.06
2011-09-07,45.84,24.76,66.22,53.35
2011-09-08,45.85,26.38,61.83,49.19
2011-09-09,45.85,25.36,64.32,50.2
2011-09-12,45.84,24.37,66.72,51.42
2011-09-13,45.84,23.36,69.55,53.58
2011-09-14,45.84,22.28,72.71,56.39
2011-09-15,45.84,21.69,74.61,57.35
2011-09-16,45.85,21.63,74.8,55.65
2011-09-19,45.85,21.91,73.74,55.49
2011-09-20,45.85,23.06,69.99,50.43
2011-09-21,45.84,25.29,63.18,45.65
2011-09-22,45.85,24.48,65.15,46.34
2011-09-23,45.85,23.65,67.36,49.68
2011-09-26,45.84,22.95,69.42,51.25
2011-09-27,45.85,23.97,66.26,48.32
2011-09-28,45.85,24.74,64.2,49.4
2011-09-29,45.85,26.66,59.2,46.01
2011-09-30,45.85,28.77,54.56,41.8
2011-10-03,45.85,26.95,57.88,44.3
2011-10-04,45.85,24.92,62.26,47.0
2011-10-05,45.84,23.66,65.48,49.54
2011-10-06,45.85,24.12,64.13,48.52
2011-10-07,45.84,21.66,70.71,53.48
2011-10-10,45.84,21.23,72.22,53.51
2011-10-11,45.84,20.83,73.38,55.0
2011-10-12,45.85,20.28,75.21,54.63
2011-10-13,45.84,19.14,79.54,57.44
2011-10-14,45.84,20.01,75.83,54.16
2011-10-17,45.85,19.26,78.57,57.34
2011-10-18,45.85,20.41,74.08,55.3
2011-10-19,45.85,20.64,73.1,56.01
2011-10-20,45.84,19.9,75.7,59.11
2011-10-21,45.84,18.69,80.43,61.5
2011-10-24,45.85,19.75,75.87,57.88
2011-10-25,45.85,19.79,75.57,59.65
2011-10-26,45.84,18.19,81.66,65.68
2011-10-27,45.84,18.1,81.93,65.93
2011-10-28,45.83,19.02,77.87,60.84
2011-10-31,45.85,20.49,71.84,55.95
2011-11-01,45.84,19.97,73.61,58.64
2011-11-02,45.83,18.72,78.09,61.79
2011-11-03,45.84,19.02,76.88,60.69
2011-11-04,45.85,18.6,78.59,61.79
2011-11-07,45.85,17.98,81.21,64.18
2011-11-08,45.84,19.8,72.81,57.13
2011-11-09,45.85,19.89,72.51,58.7
2011-11-10,45.84,18.76,76.58,62.07
2011-11-11,45.85,19.1,75.28,60.21
2011-11-14,45.84,18.48,77.7,61.2
2011-11-15,45.85,19.36,73.87,58.2
2011-11-16,45.85,20.7,68.79,55.4
2011-11-17,45.85,21.21,67.14,55.18
2011-11-18,45.85,22.4,63.24,52.0
2011-11-21,45.84,22.2,63.79,51.48
2011-11-22,45.85,23.7,59.55,48.05
