Date,AGG,BIL,CURE,DBC,EEM,EFA,EPI,ERX,EUO,EWZ,GLD,IYK,MVV,PUI,QLD,SHY,SOXL,SOXS,SPXL,SPXS,SPXU,SQQQ,TECL,TECS,TMF,TMV,TQQQ,UCO,UGE,UPRO,USD,UUP,UVXY,VIXY,YCS
2012-08-16,111.15,45.81,47.97,28.28,40.2,52.16,17.06,51.03,21.99,55.21,156.53,74.81,67.77,17.45,60.08,84.4,32.51,31.48,85.7,18.41,41.1,38.12,58.4,8.49,71.84,58.15,59.66,34.49,93.78,85.75,36.87,22.71,5.12,23.98,43.0
2012-08-20,111.6,45.81,47.03,28.65,40.14,52.07,17.21,49.84,21.52,54.75,159.2,74.18,67.53,17.36,59.52,84.42,31.43,32.2,84.6,18.62,41.56,38.59,57.05,8.67,75.4,55.4,58.86,34.8,92.75,84.65,36.68,22.53,5.48,24.86,42.7
2012-08-22,111.98,45.82,48.09,28.75,39.87,51.81,17.08,48.78,21.34,53.88,161.9,73.61,66.41,17.16,59.06,84.46,30.3,33.16,82.61,19.05,42.55,39.04,55.99,8.83,79.09,52.72,58.12,34.7,92.19,82.75,34.75,22.43,5.74,25.47,41.94
2012-08-24,112.09,45.81,47.79,29.06,39.29,51.51,16.58,49.0,21.06,52.55,164.08,74.01,67.63,17.2,59.67,84.52,30.36,33.2,83.89,18.69,41.81,38.38,56.67,8.63,82.26,50.55,59.04,34.7,92.04,83.95,33.84,22.31,5.37,24.6,41.78
2012-09-04,111.89,45.81,50.92,28.76,39.11,51.64,16.5,48.49,21.05,52.67,165.19,74.41,69.36,17.36,60.3,84.44,30.0,33.62,85.04,18.45,41.17,37.76,57.93,8.5,79.5,52.19,59.99,34.79,94.15,85.22,34.93,22.33,4.74,23.12,42.31
2012-09-06,112.15,45.81,51.5,28.79,40.25,53.04,16.95,50.63,20.45,54.41,167.76,75.39,71.43,17.62,61.97,84.49,31.94,31.41,89.14,17.55,39.18,36.09,60.07,8.11,80.54,51.32,62.43,33.82,94.52,89.27,35.61,22.08,37.7,20.81,41.6
2012-09-07,111.77,45.82,50.75,29.13,40.34,53.07,17.08,52.95,20.25,54.42,168.19,74.91,71.29,17.6,60.47,84.46,30.24,32.78,88.4,17.67,39.47,37.4,58.62,8.32,76.6,54.03,60.22,35.01,94.36,88.54,33.55,21.97,38.35,21.04,41.11
2012-09-11,111.57,45.81,51.46,29.71,42.32,55.19,18.11,59.02,19.36,56.92,171.89,75.72,74.03,17.79,62.77,84.48,32.01,30.96,94.44,16.47,36.82,35.3,62.78,7.73,68.92,59.84,63.6,36.65,95.46,94.65,34.42,21.63,29.56,18.52,41.48
2012-09-14,111.51,45.81,52.0,29.54,42.16,55.09,18.31,59.27,19.28,56.74,171.79,75.31,74.69,17.62,63.43,84.44,32.69,30.29,94.57,16.48,36.79,34.7,63.09,7.7,67.26,61.04,64.66,36.54,95.48,94.77,34.52,21.64,33.93,19.89,42.11
2012-09-17,111.77,45.81,54.58,28.57,42.03,54.86,18.87,57.57,19.62,56.43,172.9,76.39,73.1,17.83,64.21,84.44,30.66,32.34,95.53,16.28,36.39,34.03,64.18,7.58,70.48,58.14,65.92,32.16,98.02,95.65,33.27,21.7,29.78,18.7,41.55
2012-09-21,111.94,45.82,54.24,28.32,41.59,54.12,18.67,54.97,19.96,55.8,170.67,75.57,71.4,17.92,62.58,84.45,29.2,33.76,92.54,16.81,37.57,35.35,61.89,7.87,73.12,56.01,63.34,31.04,96.2,92.7,32.64,21.84,29.98,18.74,41.29
2012-09-24,112.12,45.81,55.81,28.54,41.8,54.49,18.74,55.89,19.85,55.84,171.78,75.43,72.4,17.98,63.28,84.43,28.98,33.86,94.11,16.52,36.94,34.81,62.74,7.78,74.06,55.25,64.4,31.62,95.85,94.36,31.9,21.77,27.85,18.09,41.04
2012-09-25,112.2,45.81,55.59,28.8,41.67,53.55,19.29,54.61,19.94,54.31,172.74,74.6,70.22,17.87,61.4,84.48,27.42,35.29,91.29,17.0,37.97,36.26,59.86,8.08,76.61,53.23,61.5,31.78,94.95,91.6,30.85,21.85,29.43,18.7,41.23
2012-10-01,111.94,45.81,57.65,28.56,41.51,53.47,19.14,54.11,19.92,54.62,171.86,75.64,69.99,17.85,60.05,84.42,26.15,37.08,93.11,16.6,37.2,37.46,57.52,8.43,72.0,56.38,59.43,29.91,95.08,93.25,29.75,21.88,28.55,18.46,41.58
2012-10-09,112.3,45.81,55.85,28.35,41.38,53.53,18.85,51.26,19.77,54.33,168.99,74.6,68.25,17.72,57.84,84.44,24.16,40.02,88.65,17.4,38.96,39.42,54.46,8.83,76.12,53.3,56.22,30.16,95.51,88.95,28.12,21.83,29.36,18.79,42.01
2012-10-15,112.04,45.81,59.25,28.47,42.05,54.85,18.78,55.1,19.3,55.12,169.23,75.7,70.43,17.94,59.24,84.42,25.78,36.88,93.25,16.56,37.0,37.94,55.94,8.6,71.37,56.68,58.3,31.33,98.1,93.5,29.71,21.66,26.42,17.79,42.01
2012-10-17,111.95,45.81,54.35,27.52,41.4,53.65,18.44,50.26,19.73,53.61,165.79,73.86,68.69,17.56,55.77,84.38,24.32,39.13,86.09,17.8,39.85,41.32,50.34,9.47,72.52,55.52,53.12,27.17,95.16,86.31,29.0,21.89,31.58,19.6,43.13
2012-10-24,111.78,45.81,55.25,27.62,41.66,54.0,18.58,49.8,19.7,54.19,166.32,74.13,68.49,17.53,55.54,84.37,23.65,40.38,86.25,17.77,39.74,41.48,50.08,9.49,70.16,57.34,52.75,27.19,93.48,86.5,28.1,21.89,30.66,19.31,43.68
2012-10-25,112.04,45.81,54.92,27.62,41.32,53.92,18.14,50.51,19.67,53.75,166.49,74.11,67.63,17.73,55.0,84.38,24.0,39.24,85.95,17.85,39.94,42.17,48.98,9.79,73.81,54.24,51.95,27.01,93.58,86.22,29.1,21.88,29.73,19.0,43.09
2012-10-31,111.83,45.82,55.02,27.58,42.05,54.17,18.61,51.0,20.05,54.86,164.46,75.18,72.06,17.57,56.5,84.39,26.23,35.69,89.15,17.13,38.39,40.43,51.4,9.23,71.69,55.78,54.05,27.22,96.46,89.5,30.64,22.03,26.12,17.9,43.98
2012-11-02,112.0,45.81,53.26,27.13,41.54,53.56,18.24,47.76,20.29,53.95,163.09,74.23,69.31,17.32,54.7,84.4,24.65,37.8,84.87,18.0,40.33,42.26,48.72,9.7,74.41,53.69,51.67,26.27,94.46,85.15,29.38,22.12,28.91,18.89,43.63
2012-11-05,112.16,45.81,52.95,27.61,41.8,53.5,18.45,49.13,20.37,54.5,166.92,74.48,69.88,17.2,54.45,84.42,25.81,35.66,85.45,17.88,40.0,42.52,48.45,9.74,76.46,52.09,51.22,27.2,93.0,85.58,30.14,22.14,28.4,18.77,43.28
2012-11-07,111.99,45.82,51.49,27.37,41.41,53.06,18.49,47.29,20.45,54.05,166.15,73.79,68.31,17.11,53.31,84.42,25.3,36.87,81.8,18.57,41.61,43.75,46.98,9.99,76.23,52.25,49.56,26.02,93.09,82.09,28.84,22.15,31.2,19.7,43.19
2012-11-08,112.01,45.81,48.89,27.33,40.94,52.51,18.13,44.31,20.55,52.8,168.26,72.78,66.01,16.75,51.41,84.44,23.91,38.47,78.13,19.39,43.5,46.1,44.22,10.55,79.57,49.92,46.92,26.07,90.04,78.37,28.19,22.19,32.4,20.09,42.62
2012-11-09,112.05,45.81,48.95,27.51,40.86,52.68,18.14,44.86,20.41,52.07,167.48,72.91,66.71,16.79,51.58,84.45,24.35,37.98,79.18,19.14,42.91,45.93,44.71,10.43,79.62,49.85,47.08,26.4,89.82,79.43,27.52,22.19,26.12,18.11,43.62
2012-11-14,112.19,45.81,47.95,27.63,40.21,52.18,17.95,42.88,20.33,51.22,167.0,71.7,63.97,16.45,49.94,84.45,22.74,40.6,75.32,20.11,45.03,48.15,43.01,10.93,80.52,49.3,44.86,27.05,87.08,75.51,26.84,22.19,29.45,19.25,44.68
2012-11-15,112.2,45.81,48.0,27.44,40.26,52.13,17.72,43.26,20.43,51.41,165.76,72.25,63.72,16.31,49.57,84.46,21.84,41.52,75.17,20.13,45.11,48.56,42.23,11.08,80.84,49.03,44.47,26.85,89.3,75.41,26.34,22.23,29.35,19.22,44.57
2012-11-16,112.1,45.81,50.38,27.86,40.77,52.8,17.77,45.25,20.33,51.63,167.74,73.38,65.92,16.73,51.02,84.46,22.7,40.04,78.5,19.24,43.08,46.48,44.0,10.64,79.22,50.13,46.33,28.05,92.63,78.76,27.07,22.17,25.34,17.85,44.59
2012-11-19,112.19,45.81,49.84,27.91,40.81,53.0,17.67,46.02,20.23,51.6,167.78,74.12,66.76,16.68,52.31,84.44,22.56,40.46,80.18,18.81,42.08,44.61,45.65,10.17,79.28,50.1,48.08,27.82,93.45,80.43,26.88,22.16,22.02,16.72,45.12
2012-11-20,111.96,45.81,51.88,27.91,41.48,54.19,17.69,47.26,19.81,51.78,168.01,74.94,68.71,16.7,53.22,84.4,23.25,38.95,82.34,18.29,40.98,43.44,46.5,9.97,77.06,51.4,49.31,27.28,94.8,82.64,27.07,22.01,21.04,16.32,45.96
2012-11-23,112.03,45.81,52.65,28.0,41.46,54.25,17.66,47.41,19.72,51.99,169.58,75.46,69.22,16.81,53.87,84.42,23.94,38.08,83.18,18.1,40.5,42.57,47.6,9.75,78.64,50.33,50.3,27.2,96.79,83.38,27.55,21.96,20.93,16.3,45.63
2012-11-26,112.01,45.81,52.4,28.01,41.59,54.29,17.99,46.9,19.81,52.42,169.16,75.54,69.43,16.87,54.62,84.41,24.5,37.19,83.53,18.0,40.32,41.82,48.22,9.58,78.16,50.66,51.27,27.31,97.12,83.88,27.76,21.98,19.56,15.83,45.61
2012-11-27,112.2,45.81,51.0,27.65,41.01,53.84,17.85,44.88,19.96,51.06,165.41,75.22,68.66,16.74,53.69,84.43,23.76,38.1,81.55,18.45,41.27,42.78,46.72,9.84,80.13,49.38,49.97,26.05,97.13,81.76,27.52,22.04,21.35,16.49,45.26
2012-11-28,112.16,45.81,52.98,28.12,41.75,54.97,18.48,48.14,19.65,51.37,167.15,76.29,71.04,16.97,55.73,84.43,25.33,35.99,85.5,17.54,39.32,40.41,49.25,9.35,78.09,50.7,52.9,27.79,98.26,85.84,28.36,21.91,18.87,15.48,45.49
2012-11-29,112.26,45.82,53.99,28.12,41.89,55.03,18.81,47.77,19.65,51.64,166.95,76.51,71.48,17.03,55.82,84.44,25.12,36.1,85.78,17.51,39.23,40.28,49.25,9.33,79.26,49.93,53.05,27.75,98.12,86.01,28.5,21.95,18.59,15.45,46.19
2012-11-30,111.65,45.81,54.79,27.63,42.78,55.34,19.09,48.27,19.8,53.06,166.07,76.3,71.45,17.22,53.9,84.44,25.92,34.88,85.89,17.44,39.09,42.43,46.91,9.79,78.53,50.25,50.25,26.53,98.97,86.01,29.3,21.95,19.75,15.9,45.63
2012-12-10,111.6,45.81,56.19,27.54,43.07,55.72,19.08,48.8,19.64,53.6,165.41,76.46,73.03,17.34,55.23,84.44,26.89,33.6,87.41,17.14,38.43,40.8,48.64,9.47,77.32,50.98,52.23,26.15,99.57,87.76,29.48,21.9,19.41,15.79,45.82
2012-12-11,111.59,45.81,57.57,27.68,43.4,56.06,19.08,49.63,19.47,53.98,166.19,76.7,73.51,17.45,56.49,84.45,28.66,31.8,89.11,16.81,37.67,39.43,50.39,9.11,76.46,51.61,53.88,26.85,100.8,89.45,31.0,21.86,18.4,15.39,46.4
2012-12-12,111.3,45.81,57.01,27.44,43.36,55.95,18.88,49.43,19.37,54.07,163.9,76.44,72.88,17.46,55.5,84.44,27.61,32.62,88.02,17.02,38.13,40.58,49.21,9.34,73.68,53.5,52.44,26.42,99.37,88.4,30.26,21.85,19.37,15.79,47.06
2012-12-13,110.92,45.81,56.89,27.63,43.59,56.74,19.25,52.06,18.74,54.74,161.3,76.05,75.07,17.59,57.18,84.4,28.5,31.43,91.94,16.23,36.41,38.58,51.0,8.95,71.12,55.11,54.84,27.44,99.09,92.19,31.15,21.61,17.58,15.05,48.27
2012-12-19,111.1,45.81,55.47,27.51,43.53,56.67,19.13,50.64,18.78,55.19,159.85,75.45,74.87,17.68,56.54,84.41,28.32,31.77,89.7,16.64,37.29,39.24,50.15,9.08,71.67,54.67,53.91,28.11,97.26,90.0,31.3,21.62,19.51,15.88,48.0
2012-12-20,110.96,45.81,53.68,27.71,43.47,56.54,19.02,49.81,18.96,55.4,161.4,74.88,74.33,17.33,54.79,84.39,27.12,32.57,88.29,16.88,37.76,40.87,48.44,9.42,73.2,53.34,51.71,28.76,94.85,88.58,30.5,21.75,23.32,17.39,49.1
2012-12-26,111.05,45.82,52.07,27.67,43.53,56.67,18.96,48.33,18.78,55.21,160.22,74.56,73.16,17.19,53.96,84.39,26.34,34.08,86.7,17.16,38.5,41.85,47.61,9.58,73.16,53.35,50.41,28.99,94.47,87.06,30.2,21.71,24.94,18.07,49.88
2012-12-27,111.29,45.81,52.69,27.68,43.5,56.11,19.06,47.08,18.94,54.99,160.93,74.38,72.01,17.12,52.97,84.42,25.4,35.32,84.63,17.55,39.4,43.0,46.27,9.77,75.54,51.82,49.02,28.98,94.57,85.0,29.64,21.78,26.66,18.6,49.94
2012-12-28,111.25,45.82,50.87,27.53,43.76,56.21,19.1,45.34,18.93,54.76,160.91,73.92,71.57,17.01,52.53,84.43,25.79,35.28,83.02,17.94,40.1,43.55,45.46,10.01,74.9,52.09,48.5,28.49,95.01,83.22,29.23,21.77,28.54,19.46,50.3
2012-12-31,110.82,45.81,58.0,28.11,44.91,57.67,19.76,51.59,18.88,56.67,163.52,76.29,77.98,17.72,57.5,84.41,28.5,30.2,92.74,16.1,35.65,37.6,52.35,8.7,69.28,56.19,55.5,30.25,99.74,93.53,31.71,21.74,16.73,15.33,51.28
2013-01-02,110.59,45.81,57.0,27.53,44.68,57.09,19.7,51.93,19.47,56.96,159.54,76.95,78.75,17.68,57.8,84.4,29.85,29.74,94.13,15.64,35.02,37.27,51.96,8.61,65.66,59.04,55.76,29.85,101.87,94.57,32.34,22.03,15.92,15.03,51.93
2013-01-04,110.76,45.81,57.8,27.64,44.41,57.03,19.72,51.88,19.32,56.46,160.44,76.85,78.72,17.56,57.41,84.4,29.19,29.78,93.64,15.7,35.18,37.64,51.4,8.76,68.0,57.08,55.19,30.41,100.93,94.05,32.02,21.96,15.11,14.67,51.42
2013-01-08,110.85,45.8,57.95,27.65,44.4,57.1,19.65,52.09,19.45,56.36,160.77,76.85,78.96,17.61,57.36,84.43,28.58,30.51,94.05,15.66,35.06,37.66,50.84,8.8,68.3,56.8,55.15,30.3,101.93,94.39,31.59,22.02,14.47,14.3,51.84
2013-01-09,110.7,45.8,60.5,27.8,44.72,57.8,19.71,52.68,19.03,56.82,161.63,77.36,80.24,17.71,58.43,84.43,30.01,29.05,95.66,15.38,34.43,36.66,51.82,8.61,67.28,57.68,56.65,30.87,102.7,96.05,32.65,21.87,14.43,14.33,52.43
2013-01-10,110.64,45.81,61.06,27.57,44.49,58.01,19.66,53.01,18.55,56.51,161.85,77.65,79.78,17.68,58.26,84.43,30.08,29.33,96.33,15.27,34.19,36.79,51.67,8.67,67.05,57.76,56.47,30.2,102.95,96.69,33.0,21.71,14.3,14.27,53.55
2013-01-11,111.01,45.8,60.83,27.76,44.36,57.73,20.03,52.34,18.58,56.38,162.78,77.9,78.91,17.6,57.38,84.46,30.32,28.68,94.75,15.52,34.75,37.6,49.99,8.95,70.68,54.87,55.22,30.86,104.48,95.17,32.5,21.75,14.04,14.14,52.99
2013-01-15,111.02,45.8,60.28,27.61,44.11,57.58,19.78,53.47,18.72,55.97,162.42,78.2,80.33,17.59,57.55,84.45,30.35,28.9,95.7,15.36,34.4,37.47,50.02,8.95,70.74,54.82,55.48,30.47,105.03,96.14,32.82,21.78,13.47,13.86,52.36
2013-01-16,110.78,45.8,60.86,27.78,44.63,58.14,20.2,55.2,18.58,56.88,161.96,78.54,80.8,17.6,58.35,84.43,31.94,27.23,97.5,15.08,33.76,36.69,51.21,8.75,68.4,56.55,56.59,31.62,105.25,97.91,33.6,21.77,12.76,13.46,53.71
2013-01-17,110.88,45.81,62.24,27.88,44.7,58.16,20.36,55.51,18.61,56.59,163.95,78.6,81.59,17.72,58.01,84.44,32.45,26.82,98.04,14.98,33.52,36.98,50.3,8.87,68.93,56.17,56.12,31.65,105.76,98.49,34.24,21.84,13.0,13.6,54.38
2013-01-18,110.89,45.8,63.5,28.0,44.43,58.22,20.0,58.4,18.57,57.01,162.0,78.87,83.42,18.0,57.38,84.45,32.06,26.95,100.28,14.63,32.76,37.5,50.32,8.84,69.45,55.72,55.17,31.8,105.57,100.66,33.01,21.86,10.42,12.22,54.23
2013-01-24,110.28,45.8,66.51,28.05,44.04,58.81,20.16,60.88,18.2,57.0,160.23,79.79,85.89,18.0,58.01,84.38,33.92,25.08,102.64,14.28,32.01,36.86,50.31,8.85,64.53,59.8,56.07,32.13,109.34,103.11,33.75,21.78,10.5,12.28,55.48
2013-01-28,110.39,45.81,65.2,28.05,44.13,58.87,20.04,60.43,18.22,56.93,160.99,79.48,85.29,18.0,58.1,84.42,33.65,25.66,101.61,14.45,32.36,36.84,50.44,8.82,65.56,58.9,56.1,32.5,108.78,102.08,33.68,21.75,11.45,12.82,55.26
2013-01-29,110.21,45.8,67.52,28.34,44.16,59.13,20.2,63.32,17.98,56.38,162.58,79.87,85.22,17.98,58.43,84.41,33.2,26.08,103.31,14.19,31.79,36.47,50.91,8.78,63.78,60.42,56.77,32.95,109.78,103.84,33.87,21.67,10.96,12.56,55.88
2013-01-30,110.3,45.81,66.35,28.36,44.19,59.1,20.21,61.36,17.96,56.52,161.62,79.52,84.1,17.92,57.96,84.44,33.42,25.75,101.75,14.4,32.25,36.85,50.88,8.75,64.58,59.76,56.0,32.48,108.41,102.3,33.92,21.63,11.92,13.12,55.75
2013-01-31,110.09,45.8,67.04,28.5,44.18,58.8,19.91,61.48,17.96,56.5,161.18,79.67,85.38,18.09,58.44,84.42,34.2,25.01,102.64,14.25,31.93,36.4,51.75,8.59,64.08,59.92,56.57,31.98,107.37,103.1,34.55,21.69,11.28,12.77,57.57
2013-02-04,110.12,45.81,67.3,28.4,43.77,58.29,19.79,62.0,18.09,55.94,162.13,80.05,85.4,18.02,58.37,84.43,34.51,24.86,102.94,14.17,31.79,36.4,51.46,8.59,63.88,60.0,56.52,31.36,110.32,103.47,34.57,21.78,11.59,12.95,58.5
2013-02-06,110.18,45.8,67.2,28.52,43.86,58.58,19.77,62.83,18.25,56.67,161.24,80.37,86.72,18.08,58.44,84.43,35.56,24.36,104.3,13.98,31.36,36.2,52.18,8.46,64.43,59.52,56.67,32.39,109.91,104.87,34.49,21.84,10.74,12.48,58.65
2013-02-07,110.17,45.81,66.76,28.62,43.67,58.36,19.45,62.88,18.41,56.03,161.44,80.71,86.84,18.1,58.98,84.42,35.0,24.42,104.36,13.98,31.34,35.78,52.56,8.41,64.38,59.47,57.42,31.95,112.38,104.87,34.99,21.88,10.78,12.5,57.57
2013-02-08,110.18,45.8,67.91,28.37,43.77,58.54,19.35,64.31,18.43,56.09,159.83,80.72,87.38,18.06,59.77,84.44,36.34,23.63,105.47,13.84,31.01,35.07,53.66,8.25,64.8,59.16,58.49,31.36,111.09,105.9,34.93,21.92,10.43,12.29,58.42
2013-02-11,110.1,45.81,68.0,28.48,43.83,58.5,19.42,63.49,18.31,55.76,159.34,80.78,87.07,18.03,59.53,84.4,36.18,23.39,105.5,13.83,31.0,35.24,53.53,8.25,64.09,59.61,58.24,32.59,111.16,106.0,34.87,21.91,10.11,12.09,59.02
2013-02-12,109.94,45.81,66.91,28.53,44.21,59.04,19.5,64.04,18.17,56.24,159.57,80.75,88.09,18.18,59.5,84.4,36.99,23.19,106.66,13.68,30.67,35.24,53.35,8.28,62.71,60.98,58.18,32.94,111.44,107.16,35.5,21.85,9.89,11.97,58.59
2013-02-13,110.01,45.8,66.35,28.47,44.0,58.38,19.16,64.09,18.55,55.99,159.32,80.99,87.9,17.98,59.0,84.4,36.26,23.4,105.24,13.86,31.07,35.61,52.19,8.47,63.55,60.28,57.53,32.62,111.77,105.82,35.38,21.98,10.17,12.14,58.21
2013-02-14,110.25,45.81,67.89,28.22,44.05,58.92,19.34,64.6,18.48,56.5,155.75,81.57,88.66,17.99,59.46,84.41,37.27,22.84,106.66,13.66,30.64,35.25,52.75,8.39,64.41,59.25,58.15,31.45,114.0,107.2,36.03,22.0,9.44,11.69,58.56
2013-02-19,110.09,45.81,69.22,28.19,44.28,59.25,19.41,66.12,18.41,56.22,153.88,82.08,89.62,18.1,60.06,84.41,38.5,22.1,108.26,13.46,30.15,34.73,53.51,8.22,62.4,61.19,58.96,32.06,114.75,108.79,36.01,22.0,8.83,11.32,58.7
2013-02-20,110.26,45.81,67.31,27.63,43.33,57.84,18.87,61.0,18.9,54.83,151.98,81.27,86.42,17.87,57.76,84.43,35.05,24.5,103.54,14.04,31.47,36.74,50.81,8.72,64.37,59.25,55.67,29.38,113.74,104.2,34.31,22.2,10.26,12.27,58.18
2013-02-21,110.23,45.81,68.3,27.75,43.62,58.83,19.15,63.7,18.66,54.98,153.5,82.04,87.47,18.19,58.86,84.42,36.9,22.63,107.0,13.56,30.4,35.65,52.96,8.33,63.63,59.94,57.19,29.74,116.85,107.63,35.03,22.17,9.24,11.65,59.17
