Date,BSV,SQQQ,TECL,TQQQ,UPRO,UVXY
2012-11-27,81.37,41.1,48.52,52.08,84.82,19.44
2012-11-28,81.38,40.34,49.32,52.98,86.12,18.89
2012-11-29,81.43,40.47,49.08,52.79,85.85,19.57
2012-11-30,81.33,40.7,48.91,52.53,84.73,20.35
2012-12-03,81.35,40.92,48.59,52.19,84.31,21.05
2012-12-04,81.31,42.16,47.14,50.58,84.79,20.32
2012-12-05,81.35,41.4,48.07,51.51,85.65,20.83
2012-12-06,81.3,42.09,47.31,50.62,86.45,19.31
2012-12-07,81.31,41.69,47.7,51.08,86.7,19.87
2012-12-10,81.33,40.08,49.67,53.05,88.38,18.54
2012-12-11,81.3,40.38,49.29,52.69,88.58,19.43
2012-12-12,81.26,41.27,48.26,51.5,87.04,20.23
2012-12-13,81.3,42.44,46.86,50.04,85.86,20.41
2012-12-14,81.22,40.74,48.62,51.99,88.89,19.07
2012-12-17,81.14,38.88,50.65,54.4,92.0,17.58
2012-12-18,81.15,39.43,49.92,53.62,90.07,19.64
2012-12-19,81.16,39.4,50.22,53.66,91.43,20.56
2012-12-20,81.2,40.63,48.94,51.99,89.04,23.26
2012-12-21,80.88,40.95,48.39,51.55,87.86,22.54
2012-12-24,80.93,41.91,47.65,50.33,86.87,25.07
2012-12-26,80.98,42.12,47.46,50.05,86.66,25.09
2012-12-27,81.01,43.34,45.92,48.6,83.67,27.54
2012-12-28,80.99,40.55,48.73,51.77,87.86,20.79
2012-12-31,80.98,36.69,53.1,56.6,94.81,16.05
2013-01-02,80.94,37.24,52.12,55.78,94.04,15.95
2013-01-03,80.96,37.61,51.46,55.21,95.45,15.33
2013-01-04,80.93,37.54,51.33,55.29,94.75,15.28
2013-01-07,81.0,37.75,50.65,54.97,93.71,14.95
2013-01-08,81.0,37.41,50.84,55.53,94.6,14.99
2013-01-09,80.98,36.73,51.65,56.51,96.6,14.28
2013-01-10,81.02,36.58,51.95,56.72,96.81,14.14
2013-01-11,81.01,37.05,50.82,55.99,96.38,13.69
2013-01-14,81.03,37.59,49.83,55.16,96.6,13.66
2013-01-15,81.03,37.14,50.52,55.78,96.59,13.09
2013-01-16,80.96,36.59,51.06,56.64,98.36,13.24
2013-01-17,80.96,36.86,50.81,56.32,99.22,11.54
2013-01-18,81.01,36.64,51.19,56.55,100.62,10.89
2013-01-22,81.04,36.02,52.84,57.47,101.08,10.28
2013-01-23,81.02,37.47,50.1,55.18,101.24,10.39
2013-01-24,80.9,36.92,50.37,56.0,102.96,10.58
2013-01-25,80.86,36.72,50.67,56.4,102.58,11.15
2013-01-28,80.89,36.64,51.02,56.4,103.78,10.46
2013-01-29,80.9,36.8,50.59,56.09,102.67,11.75
2013-01-30,80.97,37.1,50.67,55.73,101.83,11.83
2013-01-31,80.85,35.81,52.5,57.56,104.99,10.67
2013-02-01,80.91,37.67,50.33,54.63,101.44,12.09
2013-02-04,80.91,36.03,52.25,57.03,104.49,11.16
2013-02-05,80.88,36.36,52.06,56.5,104.7,11.02
2013-02-06,80.93,36.28,52.08,56.64,104.39,10.95
2013-02-07,80.92,35.14,53.39,58.36,106.05,10.54
2013-02-08,80.91,35.15,53.56,58.34,105.9,10.12
2013-02-11,80.9,35.55,53.13,57.66,106.42,9.97
2013-02-12,80.86,35.15,53.04,58.31,106.79,10.03
2013-02-13,80.86,35.21,52.74,58.21,107.08,9.74
2013-02-14,80.87,35.51,52.57,57.71,106.78,9.57
2013-02-15,80.84,34.72,53.58,58.97,109.02,8.76
2013-02-19,80.88,36.27,51.37,56.28,104.87,10.28
2013-02-20,80.92,37.51,50.16,54.45,103.04,10.64
2013-02-21,80.94,36.39,51.98,56.05,106.05,9.93
2013-02-22,80.98,37.74,49.75,53.96,100.06,12.64
2013-02-25,81.0,37.3,50.62,54.59,102.1,11.96
2013-02-26,81.01,36.13,51.97,56.27,105.84,10.31
2013-02-27,81.06,36.32,51.6,56.06,105.06,10.88
2013-02-28,81.01,35.83,51.84,56.64,106.35,11.27
2013-03-01,80.99,35.36,52.25,57.37,107.99,10.08
2013-03-04,81.0,33.84,54.49,59.89,110.85,9.4
2013-03-05,80.95,34.09,54.36,59.51,111.42,9.48
2013-03-06,80.9,33.82,54.87,60.03,112.04,9.11
2013-03-07,80.88,33.69,55.05,60.1,113.45,8.84
2013-03-08,80.87,33.41,55.49,60.72,114.65,8.13
2013-03-11,80.91,33.82,54.83,60.08,113.84,8.35
2013-03-12,80.91,33.91,54.69,59.79,114.29,8.27
2013-03-13,80.91,33.57,55.84,60.4,116.16,7.94
2013-03-14,80.94,33.84,55.28,59.83,115.62,7.94
2013-03-15,80.98,34.09,55.25,59.42,113.68,8.77
2013-03-18,81.0,34.2,55.01,59.18,112.97,8.8
2013-03-19,80.99,33.57,55.8,60.31,115.29,7.86
2013-03-20,80.98,34.67,54.04,58.38,112.36,8.28
2013-03-21,80.96,33.69,55.0,59.99,114.96,8.23
2013-03-22,80.99,34.03,54.64,59.38,113.82,8.04
2013-03-25,80.97,33.48,55.62,60.29,116.45,7.59
2013-03-26,80.97,33.31,55.13,60.61,116.3,7.72
2013-03-27,80.99,33.1,55.56,60.96,117.13,7.7
2013-03-28,80.85,33.76,54.35,59.78,116.07,7.74
2013-04-01,80.89,32.96,55.15,61.13,117.64,7.25
2013-04-02,80.91,33.78,53.84,59.51,113.99,7.76
2013-04-03,81.0,33.79,53.85,59.54,115.53,7.52
2013-04-04,81.01,34.67,52.56,58.08,113.88,7.58
2013-04-05,81.0,34.12,53.14,58.97,116.0,7.16
2013-04-08,81.01,33.43,54.28,60.13,117.51,6.95
2013-04-09,80.97,31.48,57.09,63.65,121.9,6.59
2013-04-10,80.99,31.54,56.74,63.54,123.06,6.52
2013-04-11,81.03,31.54,55.91,63.47,122.05,6.29
2013-04-12,81.03,33.46,53.28,59.61,113.5,7.74
2013-04-15,81.04,32.06,55.2,62.1,118.48,6.37
2013-04-16,81.02,33.97,51.83,58.43,113.35,7.88
2013-04-17,81.03,35.41,50.08,55.94,111.26,8.55
2013-04-18,80.99,33.95,50.34,58.26,114.12,7.32
2013-04-19,81.04,32.9,51.39,60.15,115.79,7.04
2013-04-22,81.05,31.96,53.19,61.82,119.27,6.3
2013-04-23,81.05,31.99,53.33,61.67,119.5,6.39
2013-04-24,81.05,31.47,54.04,62.67,120.99,6.48
2013-04-25,81.11,31.76,53.98,62.14,120.29,6.49
2013-04-26,81.1,30.89,56.19,63.79,122.65,6.42
2013-04-29,81.09,30.21,57.89,64.98,123.48,6.31
2013-04-30,81.08,30.67,56.59,64.36,120.17,6.81
2013-05-01,81.09,29.49,58.62,66.69,123.49,6.36
2013-05-02,80.97,28.45,60.25,69.02,127.33,6.09
2013-05-03,80.99,28.11,61.1,69.91,128.37,5.88
2013-05-06,80.96,28.18,60.9,69.74,130.31,5.76
2013-05-07,80.96,27.72,62.33,70.83,132.07,5.84
2013-05-08,80.99,27.81,61.83,70.58,131.03,6.08
2013-05-09,80.87,27.32,62.58,71.78,132.27,5.95
2013-05-10,80.88,27.22,62.06,72.06,132.51,5.87
2013-05-13,80.87,26.81,62.59,73.12,136.74,5.77
2013-05-14,80.89,26.66,63.1,73.66,138.77,5.86
2013-05-15,80.94,26.75,64.11,73.39,136.8,5.97
2013-05-16,80.92,25.95,66.18,75.46,140.89,5.65
2013-05-17,80.87,26.12,66.03,75.12,140.85,5.8
2013-05-20,80.91,26.0,65.53,75.38,141.41,5.9
2013-05-21,80.84,26.65,63.41,73.56,138.1,6.03
2013-05-22,80.8,26.85,63.39,72.76,137.04,6.11
2013-05-23,80.81,26.91,62.99,72.72,136.55,6.09
2013-05-24,80.63,26.35,63.75,74.22,139.09,5.79
2013-05-28,80.63,26.75,63.29,73.1,137.27,5.97
2013-05-29,80.62,26.32,64.39,74.23,137.82,5.95
2013-05-30,80.58,27.12,62.68,72.17,131.83,6.36
2013-05-31,80.54,26.87,63.62,72.59,133.98,6.32
2013-06-03,80.56,27.31,62.83,71.5,132.21,6.48
2013-06-04,80.59,28.35,61.0,68.76,126.3,7.01
2013-06-05,80.55,27.97,61.65,69.6,129.89,6.88
2013-06-06,80.45,26.81,63.12,72.51,134.89,6.25
2013-06-07,80.41,26.8,63.45,72.54,67.45,61.03
2013-06-10,80.4,27.58,61.56,70.44,65.44,68.95
2013-06-11,80.39,28.52,60.19,68.0,63.73,77.05
2013-06-12,80.5,27.45,62.26,70.44,66.68,69.72
2013-06-13,80.57,27.96,60.93,69.2,65.43,73.44
2013-06-14,80.57,27.2,62.67,71.12,66.94,70.47
2013-06-17,80.53,26.53,64.09,72.8,68.47,68.6
2013-06-18,80.29,27.4,61.87,70.51,65.71,68.36
2013-06-19,80.11,29.4,57.73,65.45,60.76,84.53
2013-06-20,80.02,29.75,56.81,64.39,61.26,78.18
2013-06-21,79.82,30.65,54.58,62.4,58.96,87.32
2013-06-24,79.88,30.05,56.08,63.73,60.76,82.25
2013-06-25,79.98,29.23,56.92,65.47,62.42,78.58
2013-06-26,80.1,28.81,57.67,66.2,63.61,72.52
2013-06-27,80.07,28.78,56.93,66.38,62.46,71.52
2013-06-28,80.05,28.19,58.0,67.81,63.88,66.94
2013-07-01,80.01,28.2,58.28,67.83,63.63,68.77
2013-07-02,80.01,27.81,59.36,68.75,63.88,67.33
2013-07-03,79.76,27.18,60.49,70.27,65.82,60.78
2013-07-05,79.92,27.09,60.28,70.5,66.93,55.24
2013-07-08,79.94,26.6,60.87,71.82,68.28,52.7
2013-07-09,79.92,26.13,61.52,73.0,68.42,51.68
2013-07-10,80.19,24.51,64.62,77.55,71.31,48.82
2013-07-11,80.14,24.24,64.68,78.36,71.33,49.88
2013-07-12,80.23,24.08,65.18,78.97,72.26,47.62
2013-07-15,80.26,24.17,65.43,78.66,71.38,50.1
2013-07-16,80.32,24.01,65.61,79.22,71.87,46.78
2013-07-17,80.3,24.16,65.1,78.64,73.04,45.21
2013-07-18,80.36,24.9,61.86,76.25,73.52,43.3
2013-07-19,80.35,24.69,62.44,76.8,73.9,41.37
2013-07-22,80.35,25.24,61.64,75.09,73.46,40.96
2013-07-23,80.24,25.01,62.8,75.78,72.65,42.01
