Date,DBMF,GLD,PSQ,QQQ,SH,SPY,SQQQ,TECL,TQQQ,UPRO,UVXY
2019-08-05,26.25,138.91,28.77,183.26,27.17,287.8,36.81,149.28,57.51,50.7,33.56
2019-08-06,26.33,141.02,28.65,184.25,27.13,287.97,36.33,152.03,58.35,50.81,33.83
2019-08-07,26.59,141.73,28.02,188.26,26.63,293.62,33.9,163.0,62.21,53.73,30.81
2019-08-08,26.36,141.26,28.29,186.49,26.82,291.62,34.86,157.16,60.37,52.63,32.5
2019-08-09,26.74,142.63,28.6,184.35,27.14,288.1,36.05,151.38,58.35,50.69,35.98
2019-08-12,26.87,141.78,27.96,188.39,26.73,292.55,33.68,162.18,62.18,53.03,31.97
2019-08-13,27.25,142.75,28.82,182.76,27.5,283.9,36.73,147.56,56.61,48.38,38.59
2019-08-14,27.72,143.7,28.84,182.55,27.43,284.65,36.85,146.74,56.37,48.74,37.32
2019-08-15,27.65,142.78,28.39,185.48,27.05,288.85,35.11,154.73,58.97,50.87,34.12
2019-08-16,27.42,141.11,27.96,188.43,26.72,292.33,33.53,161.92,61.73,52.7,30.32
2019-08-19,27.54,142.21,28.16,186.97,26.93,290.09,34.2,159.6,60.46,51.47,31.39
2019-08-20,27.5,141.76,27.92,188.63,26.72,292.45,33.31,164.8,62.0,52.72,29.12
2019-08-21,27.35,141.4,28.01,188.02,26.72,292.36,33.65,163.71,61.4,52.65,29.81
2019-08-22,27.43,144.17,28.89,182.07,27.43,284.85,36.73,147.71,55.78,48.56,35.32
2019-08-23,27.58,144.19,28.46,184.82,27.11,288.0,35.22,153.57,58.04,50.15,33.96
2019-08-26,27.94,145.57,28.52,184.43,27.23,286.87,35.41,152.79,57.69,49.6,34.94
2019-08-27,28.04,145.16,28.44,185.09,27.04,288.89,35.1,153.18,58.27,50.63,33.76
2019-08-28,28.0366,144.12,28.0,187.92,26.69,292.58,33.46,161.16,60.92,52.54,31.66
2019-08-29,28.18,143.75,28.07,187.47,26.7,292.45,33.69,160.76,60.49,52.49,31.82
2019-08-30,28.31,145.75,28.36,185.65,26.86,290.74,34.67,155.15,58.73,51.56,34.16
2019-09-03,28.37,146.66,27.94,188.33,26.57,294.04,33.22,163.15,61.2,53.25,30.88
2019-09-04,27.82,143.14,27.43,191.78,26.23,297.82,31.39,173.5,64.58,55.32,29.1
2019-09-05,27.95,141.92,27.46,191.59,26.2,298.05,31.47,172.59,64.4,55.46,27.83
