Date,BIL,BTAL,LABU,SHV,SOXL,SOXS,TECL,TECS,TMF,UVXY
2015-10-19,45.69,20.82,19.3,110.3,25.82,44.94,34.48,35.08,78.48,28.07
2015-10-20,45.68,20.91,18.24,110.3,26.63,44.13,34.62,34.8,80.01,28.69
2015-10-21,45.69,20.9,17.41,110.31,27.11,43.0,34.67,34.94,80.83,31.6
2015-10-22,45.68,20.86,17.85,110.29,29.53,39.5,38.65,30.84,79.03,25.89
2015-10-23,45.69,20.59,18.22,110.29,29.35,39.65,39.17,30.58,80.42,28.5
2015-10-26,45.68,20.72,18.85,110.3,27.4,42.31,38.41,31.1,81.65,30.34
2015-10-27,45.68,20.6,19.51,110.3,27.91,41.77,38.56,31.0,81.25,28.15
2015-10-28,45.69,20.3,21.05,110.28,27.08,42.54,38.81,30.47,79.05,27.53
2015-10-29,45.68,20.46,19.95,110.27,26.45,43.27,39.32,30.09,77.23,27.58
2015-10-30,45.68,19.97,19.54,110.26,27.21,41.9,38.74,30.94,76.95,28.09
2015-11-02,45.68,19.96,22.5,110.25,27.55,41.76,39.24,30.26,76.6,25.98
2015-11-03,45.68,19.94,24.0,110.25,28.49,40.15,40.65,29.31,75.65,26.02
2015-11-04,45.68,19.87,23.32,110.25,28.01,40.78,40.45,29.1,75.51,28.11
2015-11-05,45.68,19.67,22.68,110.23,26.99,42.16,39.97,29.61,72.57,26.89
2015-11-06,45.68,19.41,22.23,110.23,28.36,39.77,40.11,29.71,70.1,26.0
2015-11-09,45.68,19.67,21.0,110.24,26.03,43.47,37.95,31.18,71.13,29.5
2015-11-12,45.69,20.1,19.77,110.23,24.59,45.5,35.0,33.42,73.13,37.18
2015-11-16,45.68,19.97,20.4,110.23,25.58,43.75,37.04,31.57,71.51,29.09
2015-11-17,45.68,19.96,20.62,110.23,26.19,43.35,37.52,31.31,72.64,31.88
2015-11-18,45.69,20.03,22.25,110.23,26.96,41.26,38.47,30.54,75.02,29.47
2015-11-19,45.69,19.97,21.39,110.24,27.35,40.85,39.53,29.68,75.13,29.02
2015-11-20,45.68,20.05,21.24,110.23,27.34,41.2,39.78,29.33,74.4,28.53
2015-11-23,45.68,20.07,21.74,110.22,26.0,42.81,38.18,30.66,75.05,28.76
2015-11-24,45.68,20.01,22.57,110.24,27.34,40.74,39.3,29.93,75.48,27.39
2015-11-25,45.69,20.0,24.83,110.25,27.99,39.59,39.52,30.02,75.36,26.79
2015-11-30,45.69,19.98,24.24,110.23,28.91,38.39,39.78,29.6,76.2,26.17
2015-12-01,45.69,20.07,23.41,110.24,30.02,36.81,40.3,29.07,78.83,24.65
2015-12-02,45.69,20.06,23.5,110.24,30.47,36.07,39.9,29.26,76.35,25.53
2015-12-03,45.69,20.15,20.65,110.22,29.12,38.3,38.08,30.53,72.8,28.48
2015-12-04,45.69,20.3,18.57,110.2,28.4,38.63,38.29,29.85,77.85,28.07
2015-12-08,45.68,20.58,19.83,110.17,28.66,38.5,39.21,29.47,76.11,28.25
2015-12-09,45.69,20.42,19.08,110.18,27.77,39.83,38.8,30.32,77.1,30.11
2015-12-10,45.68,20.7,18.88,110.2,27.41,39.96,37.32,31.11,79.32,33.8
2015-12-11,45.68,20.85,17.54,110.2,26.53,41.14,35.92,31.74,79.38,39.14
2015-12-14,45.68,20.77,17.5,110.18,26.61,40.98,37.8,30.75,75.27,31.65
2015-12-15,45.69,20.71,18.95,110.17,27.53,39.36,38.17,30.21,75.5,28.96
2015-12-16,45.68,20.8,21.18,110.17,28.35,38.61,39.13,29.15,76.7,26.62
2015-12-17,45.68,20.78,19.76,110.18,26.1,41.59,36.36,31.06,79.2,31.15
2015-12-18,45.68,20.87,20.85,110.21,26.37,41.7,35.69,32.22,79.87,31.32
2015-12-21,45.69,20.59,21.06,110.21,27.48,39.45,37.2,31.01,75.69,26.3
2015-12-23,45.69,20.67,20.99,110.22,27.8,38.88,37.14,30.57,77.48,28.19
2015-12-28,45.69,20.64,21.38,110.23,28.35,38.34,38.03,30.0,77.14,25.78
2015-12-29,45.69,20.7,22.0,110.21,28.65,37.67,38.86,29.47,73.64,26.3
2015-12-30,45.69,20.8,21.43,110.23,27.56,39.04,37.62,30.12,74.83,27.87
2015-12-31,45.69,20.8,19.7,110.22,25.33,42.34,34.41,32.65,77.12,32.93
2016-01-04,45.68,20.86,19.44,110.23,26.16,41.26,35.23,31.9,75.26,30.65
2016-01-05,45.68,21.17,17.4,110.23,23.84,45.22,33.01,34.06,78.08,34.1
2016-01-06,45.69,21.57,14.91,110.22,21.29,48.66,31.73,35.8,78.71,36.24
2016-01-07,45.68,21.72,15.15,110.24,21.12,50.47,31.43,35.75,78.2,35.88
2016-01-08,45.68,21.8,13.55,110.23,20.0,51.81,30.29,37.19,77.44,41.73
2016-01-11,45.67,21.78,11.73,110.23,20.67,50.75,31.2,35.74,78.02,36.6
2016-01-12,45.68,22.15,12.52,110.24,20.5,51.28,31.91,34.81,80.26,34.71
2016-01-13,45.69,22.35,9.81,110.23,18.76,55.51,29.11,38.19,82.05,42.64
2016-01-14,45.67,22.19,9.0,110.26,17.29,59.11,29.0,39.56,83.9,49.17
2016-01-15,45.68,22.48,10.18,110.26,17.9,58.09,28.76,38.01,83.29,44.65
2016-01-19,45.68,22.89,7.8,110.3,16.4,63.1,26.48,41.19,86.95,51.42
2016-01-20,45.68,22.53,9.66,110.31,17.88,56.51,27.61,39.6,86.93,49.64
2016-01-21,45.69,22.65,9.7,110.31,19.14,53.99,29.46,37.55,82.74,45.6
2016-01-22,45.68,22.54,9.32,110.3,18.93,52.65,29.85,36.64,84.87,42.88
2016-01-25,45.68,22.61,9.41,110.28,18.65,54.69,29.28,37.12,84.98,44.66
2016-01-26,45.68,22.64,9.16,110.28,18.57,54.51,29.09,37.31,84.54,42.6
2016-01-27,45.67,22.31,8.13,110.29,18.68,54.0,29.0,37.02,84.11,42.06
2016-01-28,45.67,22.64,6.91,110.28,18.37,55.31,29.66,36.58,87.71,41.35
2016-01-29,45.68,22.89,7.0,110.28,20.08,49.04,31.46,34.18,86.94,38.86
2016-02-01,45.67,22.75,7.02,110.27,20.14,49.47,31.56,33.82,89.8,39.91
2016-02-02,45.68,23.3,6.8,110.3,19.41,50.64,30.74,34.29,90.04,41.1
2016-02-03,45.68,23.17,6.52,110.31,19.0,51.57,29.97,35.41,89.91,42.55
2016-02-04,45.69,22.77,7.05,110.31,19.66,49.2,29.99,35.67,89.18,42.18
2016-02-05,45.69,23.35,5.87,110.29,16.94,55.56,26.31,40.19,93.0,49.08
2016-02-08,45.69,23.68,4.82,110.31,15.84,60.08,25.54,41.01,98.02,53.97
2016-02-09,45.68,23.49,5.54,110.31,16.7,57.74,27.0,38.56,97.22,49.05
2016-02-10,45.69,23.89,5.01,110.32,14.91,62.27,25.26,41.65,103.35,58.69
2016-02-11,45.69,23.74,5.48,110.33,16.2,60.2,27.1,38.91,99.28,54.66
2016-02-12,45.69,23.32,6.1,110.32,17.17,55.0,28.22,37.11,94.88,49.71
2016-02-16,45.69,22.6,6.67,110.34,18.56,50.68,29.18,35.79,92.6,45.98
2016-02-17,45.69,22.27,7.36,110.32,19.95,46.7,31.07,33.97,92.08,43.96
2016-02-18,45.69,22.84,6.21,110.32,19.12,48.77,29.56,35.14,95.24,45.83
2016-02-19,45.69,22.78,7.08,110.32,20.13,46.49,30.99,33.62,95.63,39.68
2016-02-22,45.69,22.48,6.71,110.31,19.9,46.35,30.74,33.67,93.0,38.23
2016-02-23,45.69,23.2,5.7,110.3,18.7,49.44,28.51,36.0,98.6,44.37
2016-02-24,45.68,22.96,6.28,110.32,20.46,45.25,30.85,33.73,96.53,39.79
2016-02-25,45.68,22.95,6.3,110.32,21.42,43.0,32.21,32.29,93.84,36.32
2016-02-26,45.69,22.74,6.4,110.32,21.6,42.75,31.4,33.0,94.18,38.26
2016-02-29,45.68,22.59,6.11,110.31,21.95,42.68,31.57,32.84,95.52,37.94
2016-03-01,45.69,22.46,6.65,110.26,22.96,40.03,33.2,30.73,90.03,33.09
2016-03-02,45.68,21.98,7.53,110.3,23.3,39.1,33.82,30.42,91.51,32.03
2016-03-03,45.69,22.0,7.31,110.31,23.87,38.41,33.99,30.16,90.84,28.61
2016-03-04,45.69,21.56,7.18,110.31,23.54,38.86,33.49,30.61,90.33,31.48
2016-03-07,45.68,21.94,8.13,110.29,23.78,38.43,32.88,31.14,94.18,31.57
2016-03-08,45.68,22.29,7.1,110.3,23.03,40.0,33.24,30.82,91.51,31.95
2016-03-09,45.68,22.24,6.76,110.31,23.64,38.5,34.1,30.1,92.51,30.74
2016-03-10,45.68,22.1,6.56,110.31,24.27,37.5,34.47,29.68,91.17,29.15
2016-03-11,45.68,21.67,6.85,110.31,24.81,36.55,34.82,29.39,88.81,27.95
2016-03-14,45.69,21.95,6.87,110.31,24.44,37.04,34.98,29.29,90.2,28.31
2016-03-15,45.68,22.05,5.94,110.31,24.36,37.08,35.46,28.71,88.75,28.13
2016-03-16,45.69,22.08,5.69,110.32,25.11,36.13,36.51,27.86,90.18,25.43
2016-03-17,45.69,22.0,5.9,110.33,25.94,35.24,37.65,27.03,91.36,23.25
2016-03-18,45.68,22.0,6.15,110.32,26.5,33.96,37.34,27.44,89.65,23.52
2016-03-21,45.68,21.99,6.57,110.32,26.63,34.05,37.31,27.25,91.0,22.74
2016-03-22,45.68,21.72,7.32,110.32,26.73,33.92,37.67,26.98,89.89,21.98
