Date,BIL,BSV,BTAL,CURE,DRN,DUSL,ERX,FAS,LTL,NAIL,PSQ,QID,QLD,QQQ,SH,SHV,SMH,SOXL,SPXU,SPY,SQQQ,TECL,TLT,TMF,TMV,TQQQ,UGE,UPRO,UTSL,UUP,UVXY,UYM,VDE,VIXY,WANT,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,XTL
2018-12-21,91.42,78.35,23.38,41.58,17.03,17.8,14.09,39.11,31.63,21.0,36.59,53.89,60.54,146.08,32.98,110.26,82.75,71.53,54.54,239.0,20.34,72.77,121.13,19.34,18.48,32.0,33.2,30.8,29.14,25.62,83.79,43.81,74.57,39.25,15.5,48.28,55.44,22.49,61.67,58.64,50.05,30.84,53.71,82.13,92.9,59.61
2018-12-24,91.42,78.38,22.26,39.71,15.16,16.74,13.5,38.11,31.11,20.96,36.69,54.31,59.66,145.08,33.28,110.26,81.75,69.79,56.22,235.9,20.57,70.6,120.99,19.27,18.55,31.28,31.33,29.5,24.75,25.58,87.42,42.93,73.09,40.42,16.29,47.56,54.36,22.37,60.58,58.02,48.83,29.91,51.57,81.0,92.77,58.84
2018-12-26,91.43,78.36,22.53,42.5,16.08,17.46,14.18,40.64,31.38,23.5,35.24,49.9,63.96,150.37,32.28,110.29,84.06,74.35,50.94,242.57,18.0,78.06,121.24,19.26,18.34,34.62,32.69,31.77,25.68,25.66,88.78,44.96,75.47,40.85,17.69,48.85,56.04,22.93,62.22,60.25,49.78,30.56,52.28,83.23,96.12,60.92
2018-12-27,91.45,78.42,21.88,46.53,16.62,20.19,15.56,44.1,32.14,23.01,34.45,47.61,67.0,154.15,31.4,110.31,86.93,81.82,46.82,249.73,16.75,85.03,120.38,18.84,18.76,36.99,35.19,34.55,26.6,25.47,86.78,47.93,77.58,40.22,18.77,50.64,57.75,23.71,64.17,61.99,50.94,31.06,52.82,85.7,98.4,61.79
2018-12-28,91.46,78.49,22.06,46.7,17.03,19.69,15.36,44.37,33.47,24.99,34.35,47.36,67.38,154.4,31.42,110.31,87.68,84.57,46.85,249.5,16.58,84.81,120.65,18.95,18.64,37.37,34.09,34.55,26.9,25.52,83.08,47.61,77.32,39.08,18.78,50.27,57.51,23.7,64.15,61.93,50.7,31.01,52.85,85.73,98.78,62.33
2018-12-31,91.47,78.65,22.26,45.52,16.0,18.59,14.35,42.99,32.9,23.75,35.19,49.6,64.36,150.99,31.85,110.32,85.32,77.71,48.87,246.06,17.79,80.0,121.66,19.44,18.22,34.75,33.69,33.12,26.5,25.66,86.0,45.93,75.85,40.02,18.43,49.78,56.44,23.47,63.33,60.71,50.24,30.66,52.71,85.18,97.32,62.39
2019-01-02,91.47,78.62,21.99,45.75,15.42,20.16,16.2,43.95,31.3,23.83,34.82,48.6,65.71,152.6,31.59,110.33,85.5,79.73,47.6,248.3,17.24,78.36,122.31,19.74,17.91,36.0,34.86,34.01,25.2,25.61,80.4,47.64,78.94,38.26,18.6,50.51,58.71,23.84,64.29,60.44,50.39,30.26,52.01,85.32,99.0,62.97
2019-01-03,91.49,78.68,22.0,44.16,16.38,19.42,16.35,44.3,34.01,25.59,34.85,48.67,65.27,152.34,31.65,110.36,84.15,73.83,47.81,247.59,17.22,76.29,122.33,19.77,17.87,35.58,34.16,33.64,25.3,25.62,78.15,46.92,79.37,37.56,19.18,50.14,58.88,23.88,63.69,59.97,50.52,30.68,51.74,84.45,98.92,63.43
2019-01-04,91.48,78.66,21.84,46.46,16.71,20.6,17.57,46.25,35.58,27.28,33.83,45.7,68.98,156.62,30.95,110.38,86.81,80.98,44.65,252.76,15.67,81.9,122.62,19.88,17.75,38.5,34.73,35.68,25.58,25.36,72.49,49.28,81.35,35.79,20.66,51.3,60.31,24.21,65.42,61.5,51.15,30.8,52.44,85.99,101.31,64.75
2019-01-07,91.49,78.5,21.16,48.78,17.18,22.06,18.71,48.26,35.92,30.67,33.18,43.98,71.6,159.54,30.47,110.38,88.89,86.63,42.57,256.86,14.84,86.37,121.72,19.42,18.17,40.72,35.81,37.45,26.06,25.42,69.14,50.37,83.39,34.67,22.55,51.71,61.61,24.51,66.58,62.65,51.49,31.19,52.41,86.98,104.18,65.84
2019-01-08,91.5,78.49,21.22,48.8,18.0,22.0,19.07,48.23,36.04,30.42,33.08,43.75,72.07,160.14,30.39,110.37,88.7,85.17,42.17,257.56,14.67,87.08,121.24,19.22,18.36,41.11,36.09,37.74,26.8,25.35,67.92,50.83,83.98,34.27,22.3,52.08,62.0,24.37,66.84,62.91,51.65,31.58,53.03,87.34,104.5,67.36
2019-01-09,91.52,78.6,21.25,48.03,17.58,21.83,18.6,47.71,36.0,32.74,33.21,44.01,71.6,159.6,30.56,110.39,89.18,86.41,42.84,256.31,14.82,87.51,121.27,19.22,18.35,40.64,35.96,37.14,26.29,25.26,68.07,50.2,83.65,34.33,21.75,51.65,61.73,24.29,66.66,62.88,51.08,31.32,52.8,86.96,103.48,66.45
