Date,BIL,BTAL,COKE,COST,EDC,EDZ,EUM,FTLS,IAU,KMLM,LLY,MO,NVO,PGR,PSQ,QLD,QQQ,TLT,TQQQ,UUP,UVXY,VIXY
2021-01-19,91.52,18.56,256.21,342.3367,119.09,8.03,11.81,45.66,17.83,26.7132,191.6921,29.5073,71.98,91.3358,13.92,122.27,323.77,152.46,197.96,24.4,10.13,13.34
2021-01-20,91.52,18.6,257.5,343.7581,120.16,7.96,11.79,45.56,17.82,26.8381,192.7303,29.3951,72.52,89.6243,13.8,124.33,326.36,151.39,101.44,24.29,10.0,13.23
2021-01-21,91.51,18.72,262.34,343.2843,116.82,8.19,11.895,45.6448,17.69,26.43,196.3401,29.318,72.83,87.7702,13.86,123.55,325.42,151.88,100.52,24.34,10.19,13.42
2021-01-22,91.52,18.99,267.24,342.8864,119.44,8.0,11.8097,45.89,17.69,26.5082,202.2548,29.4092,73.18,87.8747,13.72,125.74,328.11,153.67,103.31,24.37,10.85,13.96
2021-01-25,91.51,19.26,275.28,345.8236,116.39,8.16,11.9,45.86,17.65,26.805,202.6073,29.5984,73.27,87.2092,13.71,125.92,328.59,153.38,103.42,24.3,10.55,13.73
2021-01-26,91.51,19.58,272.87,337.6845,106.92,8.85,12.22,45.69,17.55,26.5,197.7021,29.311,69.97,82.7594,14.1,119.14,319.43,153.77,95.08,24.45,13.87,16.58
2021-01-27,91.52,19.08,267.65,338.3193,109.36,8.61,12.14,45.42,17.55,26.4804,200.1309,29.8928,70.6,84.1381,14.01,120.33,321.32,152.92,96.48,24.39,13.44,16.24
2021-01-28,91.52,19.35,266.86,333.9323,100.7,9.31,12.45,44.87,17.55,26.5991,198.0831,28.7924,69.6,82.902,14.3,115.37,314.56,152.0,90.47,24.42,14.64,17.3
2021-01-29,91.52,19.37,268.82,332.1226,109.19,8.54,12.09,45.21,17.71,26.405,193.4827,28.5751,70.41,81.9512,13.94,121.04,322.42,152.0,97.12,24.54,13.44,16.29
2021-02-01,91.51,19.27,269.74,336.9169,113.65,8.21,11.93,45.4388,17.49,26.4049,188.168,29.1358,70.97,82.4836,13.73,125.01,327.68,151.02,101.82,24.57,11.72,14.93
2021-02-02,91.51,18.89,267.9,336.5664,115.47,8.07,11.86,45.36,17.46,26.5971,187.5965,29.4372,72.41,82.6833,13.79,123.93,326.38,149.68,100.65,24.56,10.83,14.13
2021-02-03,91.52,18.79,271.85,337.8386,115.32,8.07,11.87,45.72,17.09,26.395,192.0349,29.8087,71.63,83.8053,13.62,126.89,330.24,149.28,104.21,24.67,10.12,13.51
2021-02-04,91.52,18.79,273.65,337.193,118.21,7.87,11.77,45.98,17.27,26.69,192.1778,29.7666,71.4,83.1682,13.56,127.78,331.36,148.03,105.3,24.53,10.05,13.475
2021-02-05,91.52,18.57,277.8,341.6171,118.91,7.81,11.74,46.61,17.45,26.975,195.9877,30.1171,70.89,81.9321,13.48,129.38,333.58,148.68,107.36,24.52,9.98,13.37
2021-02-08,91.52,18.59,283.2,341.3607,122.45,7.56,11.615,46.49,17.49,27.17,192.1207,30.3904,71.27,82.0272,13.48,129.34,333.51,148.79,107.31,24.39,10.01,13.44
2021-02-09,91.51,18.56,279.78,338.0949,123.87,7.49,11.59,46.57,17.57,27.035,194.6733,30.5236,71.18,81.3236,13.5,128.71,332.75,149.78,106.55,24.38,10.25,13.63
2021-02-10,91.52,18.49,279.68,334.3733,127.87,7.25,11.455,46.82,17.41,27.035,193.7551,30.3554,73.93,82.1223,13.44,130.14,334.58,148.96,108.27,24.37,9.91,13.32
2021-02-11,91.51,18.41,277.4,334.8954,128.37,7.23,11.445,46.76,17.36,27.1447,198.2599,30.4184,75.82,82.0272,13.35,131.58,336.45,147.11,110.11,24.39,9.42,12.89
2021-02-12,91.52,18.13,273.73,336.0822,129.17,7.17,11.42,46.5599,17.1,27.4748,196.7966,30.4254,75.06,80.9433,13.4,130.9,335.54,144.87,109.19,24.39,9.56,12.91
2021-02-16,91.52,18.164,271.77,339.9177,129.34,7.19,11.4,46.48,16.92,27.285,197.4661,30.5586,75.57,82.0082,13.45,129.63,333.93,145.79,107.67,24.49,9.24,12.73
2021-02-17,91.51,18.4,268.6,338.8544,123.69,7.44,11.56,46.43,16.91,27.545,192.3587,30.5796,75.09,83.7672,13.51,128.45,332.47,145.2,106.22,24.41,9.35,12.84
2021-02-18,91.52,18.1,264.88,336.8132,125.98,7.32,11.49,46.59,16.98,27.7564,192.1674,30.6988,74.08,82.7784,13.59,127.37,331.02,143.27,104.82,24.35,8.81,12.34
2021-02-19,91.51,17.67,261.36,332.484,115.2,8.01,11.86,46.41,17.23,28.2356,191.9379,31.1333,72.75,83.4725,13.92,120.77,322.44,142.18,96.7,24.28,9.36,12.86
2021-02-22,91.51,17.43,262.21,324.832,116.64,7.85,11.77,46.2498,17.2,28.38,193.6594,31.0422,71.68,85.3361,13.97,120.02,321.48,141.77,95.84,24.3,8.79,12.33
2021-02-23,91.5,16.98,262.75,323.4554,114.5,8.0,11.84,46.62,17.18,28.7644,195.6106,31.5399,72.19,83.4249,13.86,121.98,324.13,140.84,98.15,24.26,8.28,11.86
2021-02-24,91.51,17.39,263.31,316.9996,106.97,8.55,12.12,45.6641,16.86,28.7337,194.9411,31.2805,72.34,82.8259,14.35,113.34,312.83,138.54,87.9,24.34,10.23,13.7
2021-02-25,91.51,17.22,256.66,314.2463,102.54,8.9,12.3,45.5462,16.44,28.145,195.9645,30.5586,71.25,81.723,14.25,114.54,314.14,143.12,89.22,24.52,9.54,13.05
2021-02-26,91.5,17.12,256.9,314.9774,110.72,8.18,11.95,46.0829,16.42,27.766,197.4757,31.2175,72.83,83.3298,13.86,121.31,323.59,141.06,97.0,24.54,8.52,12.05
2021-03-01,91.5,17.145,254.4,311.8349,107.25,8.38,12.03,45.8851,16.51,27.8147,195.2471,31.3436,72.68,84.3472,14.07,117.38,318.4,141.07,92.35,24.45,8.61,12.25
2021-03-02,91.51,16.86,254.96,307.5247,106.83,8.45,12.1,45.3799,16.34,27.9202,193.2004,31.5749,71.46,84.4899,14.47,110.62,309.16,139.54,84.34,24.52,9.16,12.79
2021-03-03,91.51,16.81,257.54,302.8917,99.28,9.08,12.38,44.59,16.17,28.025,191.804,31.0212,69.22,82.7118,14.7,106.91,304.1,138.64,80.17,24.68,9.75,13.32
2021-03-04,91.51,16.745,271.74,301.2588,102.4696,8.76,12.25,45.4751,16.18,28.245,197.906,31.624,69.61,85.1554,14.48,110.19,308.68,138.91,83.76,24.77,8.72,12.4
2021-03-05,91.5,16.8611,278.52,295.6574,94.21,9.49,12.56,44.9255,16.02,28.095,198.0113,32.8715,68.83,86.5436,14.89,103.92,299.94,137.83,76.6,24.91,8.92,12.7
2021-03-08,91.5,16.85,282.57,302.6448,100.44,8.84,12.28,45.1905,16.36,27.87,197.1313,33.4182,70.72,85.7449,14.3,112.14,311.77,139.74,85.62,24.77,8.4,12.09
2021-03-09,91.5,16.77,281.76,307.4392,99.11,8.9,12.35,45.45,16.43,27.895,196.5001,33.7827,71.73,87.6846,14.34,111.47,310.88,140.02,84.89,24.73,8.25,11.95
2021-03-10,91.51,16.78,288.98,312.0153,108.24,8.11,11.94,46.02,16.43,28.185,196.2705,33.5023,71.87,88.2266,14.02,116.64,318.04,139.01,90.78,24.61,7.9,11.64
2021-03-11,91.5,16.61,295.16,314.3793,102.34,8.56,12.18,45.95,16.44,28.41,199.0155,34.0981,71.01,88.4643,14.12,114.69,315.46,136.06,88.52,24.69,7.74,11.44
2021-03-12,91.5,16.5106,302.64,313.7812,103.22,8.5,12.135,46.2265,16.49,28.3498,180.9197,34.9321,72.09,88.7876,13.97,117.17,318.83,136.86,91.35,24.74,7.06,10.79
2021-03-15,91.5,16.78,305.59,310.6862,104.56,8.38,12.09,46.1445,16.51,28.255,182.5839,34.6518,72.65,88.778,13.89,118.45,320.58,136.31,92.85,24.74,7.06,10.79
2021-03-16,91.51,16.58,309.2,312.528,105.0,8.36,12.08,45.94,16.62,28.21,178.5956,34.8901,71.78,86.6197,13.83,119.39,321.9,135.29,94.02,24.62,6.58,10.3
2021-03-17,91.5,16.69,303.97,306.6323,99.48,8.79,12.29,45.3032,16.53,27.7657,175.9176,35.4438,70.91,85.9066,14.27,112.03,312.04,133.92,85.39,24.77,7.14,10.89
2021-03-18,91.5,16.76,301.03,312.2621,102.38,8.53,12.15,45.25,16.61,27.8515,176.2619,35.4298,70.35,86.4676,14.21,113.04,313.14,134.75,86.48,24.78,6.72,10.54
2021-03-19,91.5,17.03,296.73,317.5597,102.05,8.55,12.175,45.4412,16.57,27.79,177.7443,36.1937,71.05,85.6974,13.95,117.1,318.61,136.26,91.09,24.73,6.05,9.75
2021-03-22,91.51,17.45,289.76,323.1136,96.085,9.07,12.41,44.91,16.44,27.3,175.6784,35.4017,67.99,86.2869,14.02,115.89,317.22,137.49,89.9,24.88,6.5,10.25
