Date,BITI,BSV,MSTR,TBT
2008-11-14,2.6,76.7,35.53,60.09
2008-11-17,2.9,77.0,34.87,58.79
2008-11-18,2.64,77.3,32.65,55.85
2008-11-19,2.25,78.24,31.88,49.56
2008-11-20,2.29,77.89,33.58,51.61
2008-11-21,2.41,77.85,34.87,52.99
2008-11-24,2.22,78.33,34.55,50.38
2008-11-25,2.39,78.46,36.06,49.84
2008-11-26,2.64,78.35,35.68,48.4
2008-11-28,2.69,78.4,32.32,45.07
2008-12-01,2.63,78.62,33.46,44.75
2008-12-02,2.58,78.81,34.19,44.27
2008-12-03,2.61,78.55,33.04,42.76
2008-12-04,2.54,78.54,34.61,44.22
2008-12-05,2.51,78.63,35.25,43.88
2008-12-08,2.51,78.0,34.7,42.46
2008-12-09,2.53,78.88,34.01,42.75
2008-12-10,2.34,78.07,33.12,42.95
2008-12-11,2.42,78.82,33.19,42.58
2008-12-12,2.59,78.74,33.4,41.3
2008-12-15,2.57,79.3,35.18,39.68
2008-12-16,2.56,79.17,35.67,37.14
2008-12-17,2.38,79.61,35.49,36.06
2008-12-18,2.55,79.87,35.94,36.03
2008-12-19,2.48,79.89,34.24,36.46
2008-12-22,2.52,79.99,34.57,36.62
2008-12-23,2.49,79.79,34.84,36.67
2008-12-24,2.89,80.03,35.01,36.4
2008-12-26,3.09,80.22,35.15,37.08
2008-12-29,3.42,80.23,36.08,35.85
2008-12-30,3.66,80.54,37.13,37.73
2008-12-31,3.16,79.25,37.28,38.98
2009-01-02,3.07,79.15,37.24,41.52
2009-01-05,3.11,80.28,38.09,41.95
2009-01-06,3.12,79.3,38.48,41.8
2009-01-07,3.19,79.28,38.87,41.73
2009-01-08,3.07,79.31,37.96,41.69
2009-01-09,3.0,79.97,37.5,40.32
2009-01-12,3.05,79.97,37.52,40.51
2009-01-13,3.27,80.56,37.0,38.98
2009-01-14,3.72,80.56,38.38,38.75
2009-01-15,3.6,80.37,37.75,40.08
2009-01-16,3.07,79.61,36.39,40.33
2009-01-20,3.32,79.03,39.09,42.84
2009-01-21,3.16,79.56,37.49,44.07
2009-01-22,3.15,79.22,37.73,44.72
2009-01-23,3.11,78.65,38.29,45.61
2009-01-26,2.97,79.82,39.18,43.62
2009-01-27,2.96,80.0,39.99,45.25
2009-01-28,2.96,79.68,39.86,47.8
2009-01-29,3.37,79.67,38.7,47.8
2009-01-30,3.3,79.19,40.0,45.9
2009-02-02,3.31,79.28,40.18,48.12
2009-02-03,3.02,79.23,39.5,48.48
2009-02-04,3.24,79.01,40.58,48.12
2009-02-05,3.1,79.42,41.67,48.83
