Date,PSQ,QLD,QQQ,SHY,SPY
2011-09-08,33.34,77.26,54.01,84.68,117.68
2011-09-09,34.21,73.34,52.59,84.66,114.49
2011-09-12,33.3,77.38,54.06,84.63,117.08
2011-09-13,32.81,79.66,54.86,84.67,118.32
2011-09-14,32.11,82.93,55.96,84.62,120.55
2011-09-15,31.93,83.93,56.2,84.64,121.31
2011-09-16,32.11,82.88,55.89,84.69,119.56
2011-09-19,31.52,85.97,56.9,84.68,120.83
2011-09-20,31.66,85.19,56.65,84.7,120.26
2011-09-21,33.22,77.27,53.97,84.63,113.28
2011-09-22,33.73,74.89,53.13,84.59,112.16
2011-09-23,32.9,78.59,54.42,84.58,114.64
2011-09-26,32.14,82.27,55.71,84.53,118.53
2011-09-27,32.21,81.83,55.59,84.52,117.83
2011-09-28,32.32,81.2,55.36,84.53,117.12
2011-09-29,33.67,74.94,53.16,84.56,114.45
2011-09-30,34.33,72.0,52.02,84.53,112.5
2011-10-03,35.33,67.77,50.62,84.52,108.43
2011-10-04,34.3,71.72,52.06,84.5,112.59
2011-10-05,33.37,75.57,53.46,84.47,114.35
2011-10-06,32.83,78.1,54.4,84.46,117.16
2011-10-07,32.45,79.81,54.99,84.41,117.72
2011-10-10,31.93,82.1,55.79,84.4,118.85
2011-10-11,31.32,85.24,56.86,84.37,120.6
2011-10-12,31.56,84.17,56.49,84.46,120.03
2011-10-13,30.79,88.24,57.82,84.43,121.86
2011-10-14,30.74,88.4,57.91,84.46,121.99
2011-10-17,31.13,86.26,57.19,84.47,120.08
2011-10-18,30.87,87.63,57.67,84.48,122.33
2011-10-19,31.33,85.04,56.86,84.48,121.36
2011-10-20,31.12,86.17,57.19,84.51,123.07
2011-10-21,30.91,87.1,57.51,84.49,124.14
2011-10-24,30.49,89.48,58.3,84.47,124.93
2011-10-25,30.81,87.53,57.66,84.51,124.35
2011-10-26,30.25,90.41,58.64,84.45,127.7
2011-10-27,30.35,89.95,58.52,84.43,127.98
2011-10-28,30.38,89.66,58.43,84.51,127.23
2011-10-31,31.38,84.01,56.52,84.52,122.0
2011-11-01,31.08,85.39,57.03,84.54,123.88
2011-11-02,30.88,86.45,57.37,84.52,125.31
2011-11-03,30.67,87.63,57.82,84.52,125.23
2011-11-04,30.68,87.48,57.76,84.54,125.43
2011-11-07,30.22,90.22,58.63,84.52,126.93
2011-11-08,30.68,87.36,57.74,84.52,124.91
2011-11-09,30.84,86.25,57.37,84.54,124.8
2011-11-10,30.88,85.94,57.27,84.51,125.86
2011-11-11,30.64,87.13,57.71,84.52,126.21
2011-11-14,30.86,86.11,57.32,84.54,125.12
2011-11-15,30.63,87.22,57.71,84.53,124.81
2011-11-16,30.98,85.14,57.01,84.5,123.84
2011-11-17,31.66,81.66,55.84,84.49,122.46
2011-11-18,32.31,78.23,54.65,84.5,120.21
2011-11-21,32.6,76.7,54.17,84.5,119.39
2011-11-22,32.63,76.54,54.11,84.47,118.07
2011-11-23,33.24,73.57,53.06,84.51,116.38
2011-11-25,32.54,76.65,54.17,84.48,119.53
2011-11-28,32.23,77.97,54.69,84.52,120.09
2011-11-29,31.5,81.28,55.86,84.52,123.5
2011-11-30,31.19,82.86,56.38,84.49,124.85
2011-12-01,30.66,85.69,57.34,84.49,126.14
2011-12-02,30.58,86.01,57.47,84.48,126.8
2011-12-05,30.7,85.53,57.29,84.48,126.17
2011-12-06,30.88,84.4,56.92,84.5,125.84
2011-12-07,30.98,83.88,56.71,84.53,125.88
2011-12-08,31.25,82.42,56.26,84.53,124.52
2011-12-09,31.14,82.85,56.42,84.53,124.91
2011-12-12,30.96,83.84,56.75,84.53,124.9
2011-12-13,31.64,80.24,55.55,84.49,122.59
2011-12-14,31.7,79.78,55.36,84.51,123.12
2011-12-15,31.91,78.82,54.87,84.51,122.21
2011-12-16,31.81,79.35,55.07,84.53,122.06
2011-12-19,31.7,79.66,55.2,84.52,122.23
2011-12-20,31.45,80.74,55.6,84.51,123.94
2011-12-21,31.64,79.72,55.25,84.48,124.64
2011-12-22,31.38,81.11,55.71,84.46,125.64
2011-12-23,31.2,81.99,55.99,84.4,126.15
2011-12-27,31.09,82.49,56.17,84.4,126.53
2011-12-28,31.38,81.03,55.68,84.44,125.21
2011-12-29,31.26,81.52,55.87,84.48,125.99
2011-12-30,30.69,84.6,56.91,84.49,127.75
2012-01-03,30.73,84.26,56.81,84.46,127.18
2012-01-04,30.59,84.92,57.02,84.45,127.01
2012-01-05,30.28,86.69,57.62,84.46,128.22
2012-01-06,30.13,87.68,57.96,84.49,128.04
2012-01-09,29.93,88.57,58.23,84.47,129.37
2012-01-10,30.06,87.85,58.03,84.51,128.75
2012-01-11,29.92,88.66,58.29,84.52,129.54
2012-01-12,30.03,88.05,58.08,84.54,128.66
2012-01-13,29.71,89.92,58.69,84.54,130.1
2012-01-17,29.67,90.24,58.82,84.54,129.35
2012-01-18,29.16,93.01,59.73,84.52,131.24
2012-01-19,29.26,92.66,59.6,84.52,131.23
2012-01-20,29.15,93.26,59.78,84.51,131.5
2012-01-23,29.3,92.41,59.52,84.51,130.77
2012-01-24,28.92,94.78,60.26,84.52,131.24
2012-01-25,28.72,96.0,60.69,84.57,133.15
2012-01-26,29.02,94.15,60.09,84.59,131.15
2012-01-27,29.1,93.58,59.89,84.58,130.5
2012-01-30,28.7,96.21,60.75,84.56,132.02
2012-01-31,28.63,96.57,60.88,84.53,132.31
2012-02-01,28.46,97.74,61.22,84.52,132.75
2012-02-02,28.22,99.4,61.78,84.52,134.03
2012-02-03,28.18,99.57,61.82,84.52,133.99
2012-02-06,28.13,100.01,61.95,84.5,134.2
2012-02-07,28.03,100.68,62.16,84.46,134.88
2012-02-08,27.8,102.37,62.7,84.46,135.39
2012-02-09,27.88,101.65,62.46,84.45,134.14
2012-02-10,27.68,103.21,62.94,84.45,135.29
2012-02-13,27.7,103.01,62.91,84.42,134.99
2012-02-14,27.41,105.05,63.51,84.41,135.64
2012-02-15,27.73,102.7,62.79,84.43,134.56
2012-02-16,27.35,105.55,63.64,84.41,136.52
2012-02-17,27.4,105.02,63.5,84.4,136.75
2012-02-21,27.42,104.97,63.5,84.39,136.2
2012-02-22,27.46,104.63,63.41,84.39,135.95
2012-02-23,27.23,106.41,63.92,84.41,136.95
2012-02-24,27.37,105.25,63.61,84.41,136.04
2012-02-27,27.14,106.94,64.11,84.41,137.19
2012-02-28,26.87,109.16,64.75,84.42,137.73
2012-02-29,26.91,108.8,64.65,84.37,137.32
2012-03-01,26.82,109.41,64.83,84.39,137.63
2012-03-02,26.85,109.37,64.83,84.38,137.05
2012-03-05,27.35,105.18,63.57,84.41,135.29
2012-03-06,27.23,106.07,63.87,84.39,135.06
2012-03-07,26.99,107.98,64.44,84.37,136.5
2012-03-08,26.8,109.45,64.86,84.36,137.36
2012-03-09,26.75,109.85,65.0,84.36,137.56
2012-03-12,26.57,111.3,65.4,84.32,138.38
2012-03-13,26.2,114.49,66.33,84.26,140.07
2012-03-14,26.05,115.72,66.69,84.22,140.12
2012-03-15,26.03,115.99,66.67,84.27,140.32
2012-03-16,26.02,115.81,66.63,84.24,140.2
2012-03-19,26.02,115.85,66.64,84.23,140.05
2012-03-20,25.82,117.57,67.12,84.23,140.46
2012-03-21,25.99,116.07,66.72,84.27,139.17
2012-03-22,25.86,117.39,67.06,84.28,139.37
2012-03-23,25.73,118.45,67.39,84.28,140.62
2012-03-26,25.42,121.05,68.16,84.31,141.74
2012-03-27,25.39,121.51,68.25,84.32,141.09
2012-03-28,25.63,119.19,67.6,84.33,139.62
2012-03-29,25.48,120.58,67.98,84.33,140.91
2012-03-30,25.69,118.72,67.48,84.33,140.64
2012-04-02,25.36,121.6,68.3,84.31,141.6
2012-04-03,25.58,119.54,67.72,84.3,140.17
2012-04-04,25.78,117.65,67.19,84.3,139.4
2012-04-05,25.9,116.45,66.88,84.35,137.94
2012-04-09,25.79,117.5,67.18,84.38,137.94
2012-04-10,25.94,115.93,66.73,84.37,137.33
2012-04-11,26.01,115.46,66.56,84.41,137.13
2012-04-12,25.85,116.75,66.98,84.42,138.46
2012-04-13,26.01,115.27,66.52,84.42,137.83
2012-04-16,26.32,112.48,65.73,84.42,137.86
2012-04-17,25.97,115.43,66.59,84.44,138.49
2012-04-18,26.05,114.58,66.37,84.43,138.6
2012-04-19,26.1,114.06,66.22,84.43,138.24
2012-04-20,26.57,110.21,65.06,84.46,136.55
2012-04-23,26.6,109.83,64.96,84.46,136.87
2012-04-24,26.16,113.37,66.07,84.44,138.56
2012-04-25,25.97,114.76,66.44,84.46,138.91
2012-04-26,25.75,117.09,67.12,84.47,140.56
2012-04-27,25.76,116.66,67.04,84.47,140.13
2012-04-30,25.87,115.58,66.69,84.43,139.81
2012-05-01,25.95,114.94,66.54,84.44,139.93
2012-05-02,25.73,117.01,67.1,84.43,140.4
2012-05-03,26.25,112.36,65.74,84.46,138.52
2012-05-04,26.84,107.35,64.31,84.46,136.48
2012-05-07,26.81,107.46,64.35,84.46,136.31
2012-05-08,27.05,105.53,63.77,84.46,135.1
2012-05-09,26.68,108.45,64.61,84.46,136.75
2012-05-10,26.95,53.1,63.97,84.46,135.16
2012-05-11,27.09,52.55,63.63,84.45,134.32
2012-05-14,27.02,52.81,63.75,84.45,134.05
2012-05-15,27.13,52.52,63.59,84.42,133.92
2012-05-16,27.39,51.43,62.96,84.42,132.88
2012-05-17,27.89,49.51,61.8,84.39,131.4
2012-05-18,28.29,48.13,60.93,84.4,130.14
2012-05-21,27.48,50.83,62.69,84.4,132.34
2012-05-22,27.8,49.67,61.91,84.41,131.26
2012-05-23,27.45,50.92,62.65,84.39,132.67
2012-05-24,27.65,50.15,62.21,84.42,132.48
2012-05-25,27.46,50.85,62.65,84.43,133.16
2012-05-29,27.61,50.25,62.29,84.43,132.59
2012-05-30,27.64,50.17,62.25,84.48,131.71
