Date,BITF,BITO,COIN,MARA,MSTR,RIOT,UVXY
2022-02-28,4.03,27.78,196.17,26.08,464.73,17.5,20.34
2022-03-01,4.06,27.58,194.5,26.88,459.29,17.73,18.44
2022-03-02,3.74,26.41,178.03,24.66,428.7,15.97,18.64
2022-03-03,3.44,24.78,165.75,22.82,410.36,14.92,19.85
2022-03-04,3.23,23.56,161.14,21.48,388.91,14.95,22.4
2022-03-07,3.34,24.15,161.99,22.35,410.36,15.1,22.01
2022-03-08,3.63,26.32,178.97,25.68,436.75,16.84,20.75
2022-03-09,3.46,24.86,172.97,24.75,421.13,16.51,19.37
2022-03-10,3.25,24.02,160.07,22.49,390.82,15.14,19.92
2022-03-11,3.18,24.32,153.19,21.41,369.93,14.16,20.88
2022-03-14,3.33,24.95,155.98,22.41,396.14,14.91,19.97
2022-03-15,3.51,25.66,172.53,24.23,428.78,16.39,17.05
2022-03-16,3.81,25.65,177.22,26.66,434.09,18.43,16.62
2022-03-17,3.88,26.43,185.94,27.92,454.28,19.53,15.33
2022-03-18,3.65,25.85,176.81,27.63,436.48,19.62,15.09
2022-03-21,3.75,26.58,186.08,29.44,459.95,20.75,14.72
2022-03-22,3.69,26.5,183.11,29.25,450.69,20.84,14.65
2022-03-23,3.97,27.63,190.19,30.33,483.92,21.54,14.14
2022-03-24,3.73,27.94,186.71,28.89,472.42,20.76,13.59
2022-03-25,4.22,30.13,201.41,31.27,510.0,22.86,13.25
2022-03-28,4.23,29.98,204.53,31.14,520.0,23.0,12.33
2022-03-29,4.0,29.5,196.7,29.56,500.69,22.04,12.55
2022-03-30,3.75,28.56,189.86,27.95,486.32,21.17,13.46
2022-03-31,3.8,29.11,186.96,28.54,490.98,20.73,12.75
2022-04-01,3.76,28.78,191.65,28.92,501.26,20.69,11.78
2022-04-04,3.51,28.84,177.17,26.26,487.28,19.23,13.22
2022-04-05,3.28,27.34,166.84,24.185,455.11,17.66,13.64
2022-04-06,3.29,27.07,166.19,23.77,463.61,17.42,13.13
2022-04-07,3.18,26.68,160.94,22.68,453.24,16.68,13.1
2022-04-08,3.11,24.91,153.87,21.92,436.39,15.91,14.16
2022-04-11,3.08,24.49,149.85,21.16,443.45,15.47,14.4
