Date,AGG,BIL,BTAL,CURE,DBC,DGRO,EEM,EFA,EPI,ERX,EUO,EWZ,GLD,MVV,PUI,QLD,SCHD,SHY,SOXL,SOXS,SPXL,SPXS,SPXU,SQQQ,SVXY,TECL,TECS,TMF,TMV,TNA,TQQQ,UCO,UGL,UPRO,USD,USDU,UUP,UVXY,VIXM,VIXY,YCS
2014-07-10,109.16,45.76,19.49,92.84,25.75,25.09,43.89,67.47,21.7,123.41,17.27,48.8,128.78,69.64,22.73,116.81,38.56,84.54,117.25,19.12,77.02,25.57,46.9,41.18,88.78,116.85,14.91,61.91,47.71,74.55,77.9,35.84,50.05,116.34,78.14,24.64,21.38,25.98,14.98,18.84,64.88
2014-07-11,109.07,45.76,19.62,93.82,25.85,25.19,44.23,67.97,21.75,126.57,17.23,49.8,125.72,70.27,22.59,118.34,38.73,84.52,118.83,19.0,78.14,25.19,46.19,40.4,91.38,119.65,14.57,61.08,48.32,75.66,79.39,36.17,47.67,117.97,78.62,24.62,21.37,24.53,14.71,18.29,65.17
2014-07-14,108.93,45.75,19.63,91.35,25.61,25.13,44.2,67.8,22.0,124.9,17.37,49.72,124.53,69.75,22.61,117.52,38.66,84.49,117.89,19.15,77.69,25.33,46.42,40.82,89.52,119.31,14.63,60.76,48.56,73.45,78.56,35.3,46.71,117.36,78.7,24.68,21.44,25.39,14.76,18.65,65.34
2014-07-15,109.02,45.76,19.53,90.6,25.65,25.22,44.31,68.22,22.33,130.48,17.49,49.51,124.97,69.65,22.62,118.41,38.99,84.47,121.97,18.5,78.52,25.04,45.92,40.33,91.76,122.19,14.23,61.74,47.82,72.95,79.45,36.18,47.03,118.64,84.15,24.72,21.49,24.13,14.72,18.17,65.4
2014-07-16,109.34,45.76,19.62,87.62,25.71,25.0,43.48,67.35,22.04,124.37,17.48,48.67,127.07,68.05,22.42,115.29,38.6,84.54,112.55,19.92,75.86,25.89,47.46,41.93,83.09,117.45,14.8,64.04,46.0,69.5,76.28,37.19,48.63,114.57,80.42,24.73,21.48,28.81,15.22,19.91,64.74
2014-07-17,109.22,45.75,19.59,92.08,25.54,25.18,44.14,67.88,22.37,125.33,17.47,50.28,126.13,69.7,22.54,118.89,38.87,84.47,116.96,19.16,78.1,25.11,46.03,39.96,89.19,122.03,14.25,63.48,46.4,72.72,79.89,36.93,47.96,118.06,82.2,24.7,21.48,24.96,14.72,18.58,64.86
2014-07-18,109.26,45.76,19.63,90.76,25.66,25.09,44.31,67.63,22.45,125.88,17.49,51.08,126.34,69.33,22.57,118.55,38.82,84.48,117.92,19.0,77.7,25.25,46.29,40.1,87.02,121.35,14.22,64.36,45.75,71.86,79.6,37.7,48.09,117.34,83.01,24.71,21.47,26.17,14.84,19.03,64.97
2014-07-21,109.46,45.76,19.48,95.38,25.62,25.2,44.76,68.07,22.69,131.01,17.64,50.98,125.62,69.78,22.57,121.63,38.89,84.51,111.87,19.92,79.26,24.73,45.34,38.56,87.91,125.03,13.86,64.5,45.61,73.93,82.7,37.8,47.55,119.72,80.5,24.73,21.55,25.48,14.92,18.79,65.12
2014-07-23,109.33,45.76,19.61,93.64,25.69,25.03,44.78,67.95,22.45,128.58,17.73,51.06,125.79,68.93,22.46,120.32,38.72,84.49,102.51,21.61,78.18,25.06,45.97,39.15,85.89,124.0,13.99,65.21,44.99,71.43,81.4,36.99,47.65,118.11,77.2,24.73,21.62,26.68,15.09,19.2,65.51
2014-07-25,109.35,45.76,19.68,93.95,25.64,25.05,45.09,67.96,22.47,127.49,17.72,51.12,125.58,68.8,22.72,120.46,38.66,84.45,102.15,21.67,78.21,25.08,45.95,39.09,86.45,124.9,13.88,64.99,45.15,70.46,81.5,36.77,47.59,118.18,77.16,24.79,21.62,26.37,15.02,19.11,65.55
2014-07-28,108.93,45.75,19.7,89.48,25.3,24.44,43.82,66.59,21.92,116.32,17.82,48.5,123.39,65.52,22.02,116.08,37.61,84.46,97.58,22.44,72.62,26.9,49.25,41.18,77.88,117.36,14.72,62.47,46.85,66.8,77.06,34.22,45.91,109.76,75.45,24.98,21.74,31.74,15.52,21.05,66.84
2014-07-31,109.14,45.76,19.75,89.44,25.12,24.41,44.05,66.15,21.85,113.5,17.74,48.75,124.39,65.36,21.99,115.25,37.51,84.55,99.04,22.2,72.01,27.12,49.71,41.64,73.94,115.49,14.8,63.86,45.77,66.07,76.17,33.96,46.62,108.7,75.63,24.92,21.71,34.77,15.96,22.06,66.47
2014-08-01,109.12,45.76,19.7,90.7,25.31,24.58,44.47,66.44,22.11,119.07,17.75,49.11,123.99,66.0,21.63,116.76,37.71,84.55,100.43,21.93,73.52,26.51,48.66,40.78,77.13,117.92,14.54,63.33,46.15,67.61,77.73,34.55,46.29,111.04,76.99,24.95,21.7,31.48,15.63,21.06,66.42
2014-08-04,109.38,45.75,19.65,87.53,25.28,24.53,43.71,65.28,21.71,115.6,17.76,47.99,126.19,66.31,21.9,115.71,37.64,84.56,97.61,22.46,72.67,26.75,49.09,41.3,72.71,114.11,15.04,65.44,44.61,68.74,76.61,33.87,47.94,109.79,74.1,24.92,21.7,34.71,16.29,22.15,65.79
2014-08-08,109.39,45.75,19.59,87.42,25.32,24.63,44.27,65.53,21.98,115.6,17.84,49.02,125.96,67.05,21.88,117.11,37.74,84.57,100.41,21.8,73.32,26.52,48.62,40.52,75.65,116.06,14.79,65.45,44.61,70.7,78.04,34.07,47.77,110.84,75.62,24.96,21.71,31.85,16.03,21.24,65.92
2014-08-11,109.56,45.76,19.56,90.36,25.14,24.75,44.56,65.85,21.93,114.32,17.89,48.12,126.2,67.62,21.97,119.49,37.95,84.6,102.91,21.28,74.59,26.05,47.81,39.3,80.37,119.06,14.42,65.38,44.62,70.77,80.39,33.66,47.95,112.7,77.74,24.95,21.75,27.9,15.53,19.93,66.23
2014-08-13,109.62,45.75,19.48,93.71,24.84,24.84,44.63,66.19,22.29,112.2,17.87,48.41,126.31,68.15,22.17,120.72,38.06,84.61,103.46,21.15,75.51,25.72,47.19,38.69,83.0,119.75,14.33,66.95,43.52,71.1,81.63,31.92,48.0,114.12,77.81,24.95,21.74,26.06,15.24,19.27,66.23
2014-08-14,109.89,45.76,19.51,93.5,24.94,24.83,44.51,66.13,22.2,114.61,17.81,49.42,125.48,67.98,22.3,121.78,38.08,84.64,106.75,20.49,75.56,25.7,47.2,38.14,82.86,119.98,14.3,69.13,42.1,70.73,82.74,32.52,47.32,114.07,79.7,24.91,21.7,26.01,15.15,19.25,66.08
2014-08-15,109.51,45.76,19.39,97.99,24.78,25.2,45.15,66.7,22.77,118.29,17.99,50.98,124.68,70.5,22.5,125.13,38.51,84.61,110.3,19.77,78.5,24.68,45.26,36.58,86.94,125.43,13.64,66.46,43.68,74.54,86.2,31.23,46.81,118.72,81.47,24.97,21.82,23.6,14.66,18.35,66.82
2014-08-19,109.65,45.76,19.2,100.71,24.91,25.4,45.08,66.9,22.78,120.11,18.35,51.13,122.74,71.51,22.65,126.9,38.77,84.49,113.31,19.22,80.73,24.0,44.05,35.85,87.24,127.64,13.4,69.08,41.97,75.11,88.0,31.53,45.31,121.95,82.61,25.18,22.0,23.41,14.73,18.28,68.23
2014-08-25,109.8,45.75,19.17,101.79,24.96,25.39,45.58,67.04,22.87,121.17,18.34,53.18,123.33,71.73,22.71,127.21,38.81,84.53,114.09,19.11,80.84,23.98,43.98,35.72,85.94,127.88,13.4,70.19,41.31,76.59,88.31,31.74,45.77,122.15,82.84,25.06,21.97,24.13,15.09,18.57,68.1
2014-08-27,109.45,45.75,19.17,102.62,24.67,25.37,44.99,66.84,23.08,118.65,18.53,53.9,121.65,72.7,23.04,128.59,38.78,84.5,116.23,18.71,81.17,23.84,43.78,35.11,84.53,129.26,13.23,67.72,42.63,77.91,89.72,31.11,44.52,122.63,83.87,25.25,22.09,24.94,15.1,18.85,69.74
2014-09-02,109.43,45.75,19.22,102.35,24.67,25.42,45.46,66.99,23.22,114.61,19.03,53.1,121.48,71.94,22.94,126.74,38.87,84.51,118.15,18.43,80.61,23.96,44.03,35.82,85.32,126.56,13.51,66.44,43.42,75.56,87.9,32.07,44.36,121.87,84.8,25.39,22.3,24.4,15.08,18.68,69.74
2014-09-04,109.11,45.75,19.32,103.3,24.31,25.37,44.75,66.1,23.16,110.04,19.01,50.29,120.87,71.16,22.93,126.47,38.75,84.46,118.65,18.34,79.64,24.27,44.6,35.93,84.48,126.55,13.48,65.87,43.71,73.97,87.53,30.73,43.92,120.34,84.51,25.52,22.39,24.76,14.9,18.83,70.92
2014-09-09,108.96,45.76,19.28,105.5,24.14,25.43,44.56,66.48,23.21,109.14,19.12,49.8,120.26,71.46,22.69,128.43,38.83,84.44,118.52,18.29,80.53,24.0,44.07,35.05,85.08,129.23,13.18,64.68,44.49,75.29,89.56,30.13,43.46,121.7,84.65,25.52,22.43,24.42,14.82,18.68,71.87
2014-09-10,108.49,45.75,19.25,105.63,23.98,25.53,43.73,65.69,22.4,108.67,19.24,49.09,117.54,70.82,22.67,127.12,39.08,84.44,119.1,18.11,81.23,23.74,43.64,35.58,85.94,129.31,13.17,60.97,47.09,72.95,88.17,31.39,41.48,122.78,84.93,25.72,22.53,23.59,14.95,18.4,73.8
2014-09-17,108.5,45.76,19.1,108.09,23.75,25.64,43.79,66.2,23.09,107.07,19.1,48.37,117.78,71.22,22.44,128.96,39.28,84.44,124.22,17.33,82.47,23.36,42.96,34.79,87.15,131.91,12.89,61.58,46.57,74.18,90.07,30.7,41.7,124.7,86.75,25.66,22.43,22.92,14.91,18.14,74.5
2014-09-18,108.68,45.76,19.16,108.42,23.68,25.64,43.46,65.97,22.84,106.76,19.33,47.74,117.09,70.3,22.4,128.78,39.41,84.45,119.96,17.95,82.33,23.4,43.01,34.86,87.17,131.05,12.97,63.9,44.82,71.52,89.87,30.63,41.12,124.5,84.73,25.74,22.55,22.91,14.91,18.14,74.77
2014-09-19,108.83,45.76,19.32,106.57,23.48,25.44,42.8,65.68,22.67,102.05,19.3,46.51,116.85,68.44,22.23,126.43,38.94,84.5,115.4,18.62,80.39,23.96,44.05,35.8,84.07,128.11,13.24,64.08,44.67,68.56,87.43,29.96,41.08,121.46,83.08,25.76,22.53,24.51,15.05,18.77,74.46
2014-09-22,108.93,45.76,19.31,104.74,23.48,25.27,42.56,65.13,22.36,101.11,19.27,46.21,117.6,67.39,22.09,125.73,38.67,84.52,114.53,18.75,79.03,24.38,44.8,36.09,80.97,127.3,13.31,65.29,43.83,66.59,86.67,30.4,41.48,119.4,82.24,25.74,22.53,26.31,15.34,19.48,74.66
2014-09-23,109.07,45.76,19.35,105.15,23.53,24.95,42.23,64.5,21.69,96.69,19.61,45.42,117.39,66.07,21.88,123.03,38.48,84.54,112.19,19.03,76.97,24.93,45.82,37.13,77.2,121.6,13.93,66.52,42.97,65.01,83.8,31.08,41.41,116.23,81.5,25.91,22.67,28.23,15.6,20.2,74.38
